row_type,episode,recovery_index,recovery_frame,threshold_cm,window_requested_frames,blackout_event_count,trigger_count,sam2_requested_count,sam2_cache_hit_count,generated_count,accepted_count,used_count,rejected_count,not_generated_count,raw_good_count,accepted_good_count,raw_recovery_error_cm,accepted_recovery_error_cm,fallback_prior_error_cm,raw_minus_fallback_prior_cm,outcome,failure_reason,rejection_reasons,recovery_trigger,recovery_used,recovery_gate_diagnostics,recovery_gate_version,recovery_gate_status,recovery_acceptance_path,recovery_decision_category,recovery_inlier_fraction,recovery_conflict_fraction,recovery_occlusion_fraction,recovery_visible_support_pixels,recovery_inlier_pixels,recovery_visible_mask_explained,recovery_visible_cad_coverage,recovery_inlier_spatial_bins,recovery_global_inlier_fraction,B1_window_frames,B1_window_complete,B1_window_failure_percent,B1_window_auc_percent,B1_full_sequence_auc_percent,B1_latency_success,B1_latency_confirmed_frames,B1_latency_censored,B1_latency_followup_frames,B1_latency_required_good_frames,B2_window_frames,B2_window_complete,B2_window_failure_percent,B2_window_auc_percent,B2_full_sequence_auc_percent,B2_latency_success,B2_latency_confirmed_frames,B2_latency_censored,B2_latency_followup_frames,B2_latency_required_good_frames,B3_window_frames,B3_window_complete,B3_window_failure_percent,B3_window_auc_percent,B3_full_sequence_auc_percent,B3_latency_success,B3_latency_confirmed_frames,B3_latency_censored,B3_latency_followup_frames,B3_latency_required_good_frames,B4_window_frames,B4_window_complete,B4_window_failure_percent,B4_window_auc_percent,B4_full_sequence_auc_percent,B4_latency_success,B4_latency_confirmed_frames,B4_latency_censored,B4_latency_followup_frames,B4_latency_required_good_frames,B5_window_frames,B5_window_complete,B5_window_failure_percent,B5_window_auc_percent,B5_full_sequence_auc_percent,B5_latency_success,B5_latency_confirmed_frames,B5_latency_censored,B5_latency_followup_frames,B5_latency_required_good_frames,aggregation,raw_accuracy_percent,accepted_accuracy_percent,acceptance_percent,rejection_percent,B1_complete_window_count,B1_incomplete_window_count,B2_complete_window_count,B2_incomplete_window_count,B3_complete_window_count,B3_incomplete_window_count,B4_complete_window_count,B4_incomplete_window_count,B5_complete_window_count,B5_incomplete_window_count,variant,base_sequence,object_id
event,cracker_box_reorient_black10,100.0,1.579908951442253e+18,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.4114020725128069,0.4114020725128069,0.90988468323552,-0.498482610722713,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,3.333333333333333,95.14347681014348,53.43890557223892,1.0,6.0,0.0,60.0,5.0,60.0,1.0,3.333333333333333,94.73473473473474,53.35855855855856,1.0,6.0,0.0,60.0,5.0,60.0,1.0,3.333333333333333,95.14347681014348,53.73453453453454,1.0,6.0,0.0,60.0,5.0,60.0,1.0,3.333333333333333,94.9366032699366,53.40767434100767,1.0,6.0,0.0,60.0,5.0,60.0,1.0,0.0,95.57724391057724,53.79846513179847,1.0,4.0,0.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_reorient,003_cracker_box
event,cracker_box_reorient_black10_2,260.0,1.5799089609657413e+18,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.276436688511399,0.276436688511399,43.09315366847613,-42.81671697996473,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,53.82515849182517,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,53.80460460460461,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,53.85438772105439,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,53.82702702702703,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.9662996329662983,54.32218885552219,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_reorient,003_cracker_box
event,cracker_box_reorient_black10_3,160.0,1.579908955061542e+18,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.3933255919458329,0.3933255919458329,0.605331408920486,-0.2120058169746531,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,28.33333333333333,81.65248581915249,53.43890557223892,1.0,6.0,0.0,60.0,5.0,60.0,1.0,30.0,81.13029696363029,53.36282949616283,1.0,6.0,0.0,60.0,5.0,60.0,1.0,28.33333333333333,81.65248581915249,53.74721388054722,1.0,6.0,0.0,60.0,5.0,60.0,1.0,28.33333333333333,81.4456122789456,53.405805805805805,1.0,6.0,0.0,60.0,5.0,60.0,1.0,26.666666666666668,82.03286619953285,53.80807474140808,1.0,6.0,0.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_reorient,003_cracker_box
event,cracker_box_reorient_black10_4,190.0,1.579908956858691e+18,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.3989714613685075,0.3989714613685075,8.09018324642603,-7.691211785057522,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,46.85845845845845,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,46.864330997664325,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,47.45145145145145,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,46.85845845845845,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,3.689522856189524,48.041775108441776,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_reorient,003_cracker_box
event,cracker_box_reorient_black10_5,310.0,1.5799089639396198e+18,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.3327729350860034,0.3327729350860034,43.315867990418006,-42.983095055332,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,53.8296963630297,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,53.80967634300967,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,53.88455121788456,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,53.83156489823156,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.899566232899565,54.30964297630965,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_reorient,003_cracker_box
event,cracker_box_yalehand0_black10,100.0,100.0,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.4048687957366373,0.4048687957366373,52.828463296649055,-52.423594500912415,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,0.4040212028154755,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.4011547342368743,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3579691220987377,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.4033423023626489,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.736069402736069,0.5247900500349634,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_yalehand0,003_cracker_box
event,cracker_box_yalehand0_black10_2,260.0,260.0,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.4016219440018546,0.4016219440018546,45.17743738441849,-44.77581544041664,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,0.3918387113564204,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3886705092432296,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3580445554823852,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3916878445891256,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.862862862862862,0.5185667958840527,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_yalehand0,003_cracker_box
event,cracker_box_yalehand0_black10_3,340.0,340.0,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.5052941738534658,0.5052941738534658,49.86189041143053,-49.356596237577065,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,0.3888968093941717,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3858794740482758,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3580445554823852,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3886705092432296,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.957123790457123,0.5190571128777609,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_yalehand0,003_cracker_box
event,cracker_box_yalehand0_black10_4,500.0,500.0,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.5801838368732297,0.5801838368732297,54.66143431354721,-54.08125047667398,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,0.38836877570864,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3856531738973336,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3578182553314429,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3882179089413453,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.696029362696029,0.5072517883369427,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_yalehand0,003_cracker_box
event,cracker_box_yalehand0_black10_5,610.0,610.0,1.0,60,1,1,1,0,1,1,1,0,0,1,1,0.3314792259269695,0.3314792259269695,122.97022140652926,-122.63874218060228,accepted,,[],blackout_exit,True,"{""accepted_recovery"": true, ""recovery_pose_valid"": true, ""recovery_rejection_reasons"": [], ""recovery_gate_version"": ""ablation_no_geometric_admission_v1"", ""recovery_admission_rule"": ""SE3_safety_only_no_quality_gate""}",ablation_no_geometric_admission_v1,,,,,,,,,,,,,60.0,1.0,100.0,0.0,0.3953840803878483,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3922535949664811,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3580445554823852,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,0.3941017128658425,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333331,2.0904237570904227,0.4865453245257314,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,,no_recovery_admission,cracker_box_yalehand0,003_cracker_box
