sequence,Total_Frames,Obs_Risk_Positive_Ratio,Prior_Risk_Positive_Ratio
bleach0_black10,663,26.24%,34.24%
bleach0_black10_2,663,26.85%,32.13%
bleach0_black10_3,663,27.00%,33.48%
bleach0_black10_4,663,65.61%,65.16%
bleach0_black10_5,663,27.15%,33.63%
bleach0_clean,663,25.49%,31.83%
bleach0_drop60,663,65.91%,16.74%
bleach0_occ40,663,24.74%,40.27%
bleach0_occ60,663,46.15%,40.72%
bleach_hard_00_03_chaitanya_black10,441,47.17%,41.27%
bleach_hard_00_03_chaitanya_black10_2,441,47.85%,43.31%
bleach_hard_00_03_chaitanya_black10_3,441,46.94%,42.40%
bleach_hard_00_03_chaitanya_black10_4,441,48.75%,44.22%
bleach_hard_00_03_chaitanya_black10_5,441,47.62%,37.87%
bleach_hard_00_03_chaitanya_clean,441,45.35%,40.59%
bleach_hard_00_03_chaitanya_drop60,441,96.83%,97.96%
bleach_hard_00_03_chaitanya_occ40,441,59.41%,48.30%
bleach_hard_00_03_chaitanya_occ60,441,65.08%,41.95%
mustard0_black10,737,9.23%,8.41%
mustard0_black10_2,737,6.92%,6.51%
mustard0_black10_3,737,8.82%,7.33%
mustard0_black10_4,737,8.55%,8.82%
mustard0_black10_5,737,6.51%,6.38%
mustard0_clean,737,7.33%,7.33%
mustard0_drop60,737,71.91%,32.29%
mustard0_occ40,737,13.03%,13.70%
mustard0_occ60,737,32.56%,24.56%
mustard_easy_00_02_black10,689,2.90%,1.16%
mustard_easy_00_02_black10_2,689,2.90%,1.16%
mustard_easy_00_02_black10_3,689,3.05%,1.31%
mustard_easy_00_02_black10_4,689,3.19%,1.74%
mustard_easy_00_02_black10_5,689,3.05%,1.02%
mustard_easy_00_02_clean,689,1.60%,1.45%
mustard_easy_00_02_drop60,689,36.14%,28.16%
mustard_easy_00_02_occ40,689,1.74%,1.31%
mustard_easy_00_02_occ60,689,23.66%,20.17%
