variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,runtime_scope,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_clean,375,94.09102435769103,53.83076409743076,9.866666666666667,0.8,15.2,41.162049490685334,373.625837388138,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.82926593720913,34,34,34,34,109180.05168903619,0.0,18.41025562832753,,0
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10,375,94.75995995995996,53.43890557223891,4.266666666666667,0.0,12.0,92.93445871126923,456.83376328647137,cached_masks_excludes_sam2_preprocessing_not_online_fps,67.12322572122018,45,44,44,44,108557.40524455905,2.666666666666667,19.248798926671345,28841.34763199836,1
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_2,375,94.25438772105439,53.825158491825164,5.6000000000000005,1.6,12.533333333333333,80.03352324903747,479.3016192863385,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.3840988650918,51,50,50,50,147605.77501449734,2.666666666666667,15.942242860794067,2470.0947292149067,1
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_3,375,94.24024024024024,53.43890557223891,9.6,0.5333333333333333,13.866666666666665,88.11889678995678,353.4517498811086,cached_masks_excludes_sam2_preprocessing_not_online_fps,65.00784133871396,30,29,29,29,71614.2806308344,2.666666666666667,17.644618292649586,28407.49589074403,1
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_4,375,93.78458458458456,46.85845845845846,5.866666666666666,1.866666666666667,10.933333333333334,74.92847885859348,387.4207810411851,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.311136692762375,37,36,36,36,88795.3761247918,2.666666666666667,16.483409273127716,28528.90871372074,1
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_5,375,94.60647313980647,53.829696363029704,8.533333333333333,0.0,12.533333333333333,76.81619959288307,318.7912429794669,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.46557356168827,26,25,25,25,88421.49057704955,2.666666666666667,16.268833704292774,2493.1207206100225,1
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ40,375,94.7177844511178,54.00613947280614,3.733333333333334,0.0,10.133333333333333,30.781770131367,678.050054098169,cached_masks_excludes_sam2_preprocessing_not_online_fps,51.843106431265674,81,81,81,81,227834.4648173079,0.0,15.104581544796625,,0
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ60,375,93.54567901234567,50.00960960960961,7.199999999999999,0.8,13.600000000000001,46.91705020906573,1178.4594245130818,cached_masks_excludes_sam2_preprocessing_not_online_fps,67.98164370904367,155,155,155,155,407976.64729412645,0.0,18.969445904095966,,0
full,cracker_box_reorient,003_cracker_box,cracker_box_reorient_drop60,375,95.1414080747414,13.054788121454788,1.0666666666666667,0.0,5.333333333333334,74.71705912353679,1228.057141425709,cached_masks_excludes_sam2_preprocessing_not_online_fps,85.18863353381555,159,159,159,159,418866.5057402104,0.0,21.498595649997394,,0
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_clean,1327,92.64301980956088,0.38980200999794057,8.967596081386587,2.260738507912585,14.619442351168049,74.26734645509352,1558.4322090092949,cached_masks_excludes_sam2_preprocessing_not_online_fps,60.57593300896497,782,809,782,782,1954689.5608166233,2.0346646571213265,21.460371691320926,,0
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10,1327,92.48732530571266,0.4040212028154755,10.474755086661643,2.260738507912585,18.538055764883197,70.18975599709412,1582.9378761170037,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.670893145094894,794,820,793,793,1989859.3543516472,2.7882441597588548,21.62272638354251,2470.604787580669,1
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_2,1327,92.5340185701904,0.3918387113564204,10.550113036925396,2.260738507912585,19.819140919366994,74.19274231845823,1642.0388045786026,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.4863982238465,820,846,819,819,2064897.5624078885,2.7882441597588548,22.0354954622961,2479.5842906460166,1
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_3,1327,92.06942436030604,0.3888968093941718,14.544084400904294,3.6171816126601355,19.21627731725697,71.88699134163183,1502.665479231651,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.28511032939923,744,770,743,743,1878124.8549614102,2.7882441597588548,22.287092263548555,2508.5978657007217,1
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_4,1327,92.56336215642924,0.38836877570864003,10.173323285606632,2.3360964581763377,15.900527505651846,73.46477563083737,1553.7465128109993,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.58247880434397,772,798,771,771,1947300.8666792884,2.7882441597588548,22.250623849993286,2517.992192879319,1
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_5,1327,92.42396126344883,0.3953840803878483,12.584777694046723,2.260738507912585,19.366993217784476,72.48021649462837,1559.1702815945334,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.70777703347787,774,801,774,774,1955723.3645403758,2.8636021100226077,22.268326767771516,2476.861333474517,1
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ40,1327,92.41611619154952,0.3927439119601892,9.118311981914092,2.3360964581763377,15.900527505651846,74.35818735660214,1519.4031328535566,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.53488315781122,754,781,754,754,1904024.0573724732,2.0346646571213265,22.221000228545993,,0
