episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
sugar_box_yalehand0_occ40,0,0.9600375693705938,0.9600375693705938,0.9548538202726085,0.9548538202726085,0.04648042188921759,0.04648042188921759,0.0891009055627426,0.0891009055627426,0.0,0.0,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5,0,0,0,False,0,0,0.9600375693705938,0,0,precomputed,0,0.0,3.149518743157387,0,1,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.041026011109352,11.90100610256195,34.09155085682869,0.9600375693705938,0.9600375693705914,0.9600375693705938,0.9600375693705839,0.9600375693705914,0.9600375693705938
sugar_box_yalehand0_occ40,1,1.0155425403490526,1.0155425403490526,0.9571744585308755,0.9571744585308755,0.04659338603410179,0.04659338603410179,0.0891009055627426,0.0891009055627426,0.0,0.0,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5,0,0,0,False,0,1,1.0155425403490526,0,0,precomputed,0,0.0,4.269382916390896,0,2,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,20.664187148213387,1.9748248159885406,26.908394880592823,1.0155425403490526,1.0155425403490534,1.0155425403490526,1.0155425403490543,1.0155425403490534,1.0155425403490526
sugar_box_yalehand0_occ40,2,1.1533098449837405,1.0728177336741562,1.0201423390826039,1.026503776514751,0.04965853966429684,0.04996820203291327,0.12499999999999999,0.12499999999999999,-0.08049211130958422,0.006361437432147232,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4984609272520979,0,0,0,False,0,1,1.0728177336741562,0,0,precomputed,0,0.0,4.470436833798885,0,3,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.249035976827145,1.5381155535578728,25.257588364183903,1.1533098449837405,1.1085406896398233,1.072817733674147,1.1532896282333516,1.1086810580233264,1.072817733674147
sugar_box_yalehand0_occ40,3,1.3667561837329445,1.1724426548871785,0.993862909474766,0.9982417650137265,0.04837930827908693,0.04859246242742004,0.0891009055627426,0.0891009055627426,-0.19431352884576603,0.004378855538960558,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4989118718338862,0,0,0,False,0,1,1.1724426548871785,0,0,precomputed,0,0.0,4.384935833513737,0,4,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.24400869756937,1.4885086566209793,25.117453187704086,1.3667561837329445,1.2701098240169226,1.0935805090851547,1.366679003028869,1.270550544714596,1.0935805090851547
sugar_box_yalehand0_occ40,4,1.5286692302620262,1.4722936513597136,1.0091207566554388,1.025630407001755,0.04912203052517525,0.04992568810819792,0.0891009055627426,0.12499999999999999,-0.056375578902312595,0.01650965034631624,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4959825669798062,0,0,0,False,0,1,1.4722936513597136,0,0,precomputed,0,0.0,4.224058240652084,0,5,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.339867867529392,1.5386473387479782,25.102573446929455,1.5286692302620262,1.5002027249786303,1.2186790078908671,1.5285353768139025,1.5007827349961134,1.2186790078908671
sugar_box_yalehand0_occ40,5,1.6051274036725374,1.659234524601384,0.9814527016657688,1.0203661648506615,0.04777520356436697,0.04966943506619828,0.0891009055627426,0.12499999999999999,0.05410712092884662,0.03891346318489264,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4903766198274873,0,0,0,False,0,1,1.6051274036725374,0,0,precomputed,0,0.0,3.7145446985960007,0,6,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.686500541865826,1.4512278139591217,24.852273054420948,1.6051274036725374,1.6320512709184265,1.2705228876349086,1.6050863975795877,1.6319262261872456,1.2705228876349086
sugar_box_yalehand0_occ40,6,1.7710096937520639,1.8519818320847967,1.0196941217220317,1.0337300857889862,0.04963672131726282,0.050319964676196746,0.10329108123478564,0.12499999999999999,0.08097213833273287,0.01403596406695451,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.49661526955841717,0,0,0,False,0,1,1.7710096937520639,0,0,precomputed,0,0.0,4.930861294269562,0,7,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,26.32281556725502,1.416422426700592,32.670099288225174,1.7710096937520639,1.809071192492579,1.3582820991172868,1.7710804557202413,1.8083501090006737,1.3582820991172868
sugar_box_yalehand0_occ40,7,1.7062438881630733,1.9894078072233712,0.9934353668324913,1.0188454960167468,0.04835849633702141,0.0495954118728534,0.0891009055627426,0.09302325581395349,0.2831639190602979,0.025410129184255448,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4937483716820935,0,0,0,False,0,1,1.7062438881630733,0,0,precomputed,0,0.0,3.6165034398436546,0,8,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.634113647043705,2.0850757136940956,25.335692800581455,1.7062438881630733,1.8447564287129952,1.4237503348405705,1.7063117725148322,1.842312762207527,1.4237503348405705
sugar_box_yalehand0_occ40,8,1.8154070921886016,1.9127458948610665,1.0661953417499481,0.9889790439871472,0.0519003100251593,0.048141571231284264,0.24242424242424243,0.0891009055627426,0.09733880267246486,-0.07721629776280092,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5186047732406291,0,0,0,False,0,1,1.8154070921886016,0,0,precomputed,0,0.0,4.097113385796547,0,9,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,18.628057092428207,1.6153054311871529,24.340475909411907,1.8154070921886016,1.866717027343354,1.5166310770766918,1.815544277052498,1.8663470992439763,1.5166310770766918
sugar_box_yalehand0_occ40,9,1.7852002910708007,1.8682991681330265,1.0092489403202578,1.0574559679441669,0.04912827025600483,0.05147489435114093,0.0891009055627426,0.24242424242424243,0.08309887706222585,0.04820702762390905,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.48844900698872556,0,0,0,False,0,1,1.7852002910708007,0,0,precomputed,0,0.0,4.550078883767128,0,10,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.40124575048685,1.6011297702789307,25.55245440453291,1.7852002910708007,1.8256936409080513,1.5885497014633803,1.7853234196661696,1.8254899946700882,1.5885497014633803
sugar_box_yalehand0_occ40,10,1.883161614325039,1.8384000326633516,1.1001396647503303,1.0640146735258948,0.053552653473239335,0.05179415934858195,0.3888888888888889,0.24242424242424243,-0.04476158166168731,-0.036124991224435465,MODE_2_PRIOR,full,four_mode_relocalization_v2,1.0,0,0,0,False,0,1,1.8384000326633516,0,0,precomputed,0,0.0,4.245913587510586,0,11,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,20.185153000056744,1.6323728486895561,26.063439436256886,1.883161614325039,1.8600593509886656,1.7168179576644045,1.8833458179506708,1.8384000326633516,1.7168179576644045
sugar_box_yalehand0_occ40,11,1.8517081318625315,1.868323036154546,1.0325186976471523,1.0681545548950384,0.050260996663807206,0.051995680700357205,0.12499999999999999,0.24242424242424243,0.01661490429201451,0.035635857247886094,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.49159798493116114,0,0,0,False,0,1,1.8517081318625315,0,0,precomputed,0,0.0,4.687482491135597,0,12,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.426943734288216,1.8538273870944977,25.96825361251831,1.8517081318625315,1.8788084588594818,1.86263827946937,1.8649919576618288,1.8570713570597288,1.8517081318625315
sugar_box_yalehand0_occ40,12,1.944004385291491,1.8450408314013733,1.0438599491350293,1.0533569658477258,0.05081306666941052,0.051275362922641246,0.1346153846153846,0.24242424242424243,-0.09896355389011768,0.009497016712696427,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4977571932650147,0,0,0,False,0,1,1.8450408314013733,0,0,precomputed,0,0.0,4.285789094865322,0,13,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.17298138141632,1.8419232219457626,25.300693698227406,1.944004385291491,1.9035468357959864,1.9870458415555532,1.944170042501344,1.8906392244906982,1.944004385291491
sugar_box_yalehand0_occ40,13,1.952731131430728,1.9107768068573072,1.057439672822933,1.0528495633853898,0.05147410113641674,0.051250663560271546,0.24242424242424243,0.24242424242424243,-0.041954324573420854,-0.004590109437543122,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5010773441839552,0,0,0,False,0,1,1.9107768068573072,0,0,precomputed,0,0.0,4.370758309960365,0,14,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,20.389472134411335,1.5948126092553139,26.355043053627014,1.952731131430728,1.931328840622157,2.1077249315689377,1.9529222898384178,1.9313577168125107,1.952731131430728
sugar_box_yalehand0_occ40,14,1.9460259621686353,1.9750574292221885,0.9871926715726812,0.9962274328393731,0.0480546141057926,0.04849440866536645,0.0891009055627426,0.0891009055627426,0.029031467053553195,0.009034761266691893,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4977451655679218,0,0,0,False,0,1,1.9460259621686353,0,0,precomputed,0,0.0,5.0728581845760345,0,15,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,26.57658699899912,1.405477523803711,33.054922707378864,1.9460259621686353,1.9516049500764556,2.2262749844933016,1.9461474748939205,1.9601013598978867,1.9460259621686353
sugar_box_yalehand0_occ40,15,2.0117209909406144,2.0236229874167395,1.070531849689729,1.01069045875927,0.05211140277494733,0.0491984405624788,0.2857142857142857,0.0891009055627426,0.01190199647612511,-0.059841390930458926,MODE_2_PRIOR,full,four_mode_relocalization_v2,1.0,0,0,0,False,0,1,2.0117209909406144,0,0,precomputed,0,0.0,4.253647290170193,0,16,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,18.376141786575317,1.393069513142109,24.02285858988762,2.0117209909406144,2.007633149164282,2.383004255131803,2.0119257468537337,2.0236229874167395,1.976999976845482
sugar_box_yalehand0_occ40,16,1.9084271906350037,2.0560066411646334,1.0098535301905047,1.0139226451914403,0.0491577005118643,0.04935577709483826,0.0891009055627426,0.0891009055627426,0.14757945052962973,0.0040691150009355415,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.499004510608855,0,0,0,False,0,1,1.9084271906350037,0,0,precomputed,0,0.0,4.434487782418728,0,17,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,18.672389909625053,1.7781108617782593,24.88498855382204,1.9084271906350037,1.9687574254283118,2.513003788278647,1.9085889972831787,1.9799763797088132,1.9084271906350037
sugar_box_yalehand0_occ40,17,1.8346578462261978,1.9504345860744294,1.0297239489955279,1.021026146172631,0.05012495374954758,0.049701561669907524,0.12499999999999999,0.12499999999999999,0.11577673984823167,-0.008697802822896783,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5021001575330581,0,0,0,False,0,1,1.8346578462261978,0,0,precomputed,0,0.0,4.585813730955124,0,18,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,20.84290888160467,1.6342438757419586,27.062966488301754,1.8346578462261978,1.8891326338807004,2.660010211654798,1.8347846361165734,1.8914365849936392,1.8346578462261978
sugar_box_yalehand0_occ40,18,1.8675835757611947,1.8048768957984402,1.0548534290655307,1.0318231579812807,0.051348207833797815,0.05022713914925993,0.24242424242424243,0.12499999999999999,-0.06270667996275447,-0.023030271084250042,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5054660196125629,0,0,0,False,0,1,1.8048768957984402,0,0,precomputed,0,0.0,4.517450928688049,0,19,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,18.56474857777357,2.6356643065810204,25.71786381304264,1.8675835757611947,1.8373795554571766,2.791998180023107,1.8676962324978563,1.8348742105329232,1.764785775908501
sugar_box_yalehand0_occ40,19,1.9944469785476815,1.823927575298619,1.0643044934285109,1.0706163746942656,0.051808267216257066,0.05211551728733409,0.24242424242424243,0.2857142857142857,-0.17051940324906245,0.006311881265754771,MODE_1_ACCEPT,full,four_mode_relocalization_v2,0.0,0,0,0,False,0,1,1.823927575298619,0,0,precomputed,0,0.0,3.9333002641797066,0,20,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,20.122290588915348,2.6427367702126503,26.698327623307705,1.9944469785476815,1.91042333258423,2.9966312944386697,1.9946275880849142,1.9944469785476815,1.7336435524367224
sugar_box_yalehand0_occ40,20,1.9192561517543079,2.103362870099984,1.0139282378315149,1.1030361380621352,0.04935604933365076,0.05369364814558103,0.0891009055627426,0.3888888888888889,0.18410671834567593,0.08910790023062032,MODE_1_ACCEPT,full,four_mode_relocalization_v2,0.0,0,0,0,False,0,1,1.9192561517543079,0,0,precomputed,0,0.0,4.308738745748997,0,21,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,18.82929727435112,2.634975127875805,25.77301114797592,1.9192561517543079,1.9248733348394238,3.1137303009892854,1.919400896952812,1.9192561517543079,1.657937235434652
sugar_box_yalehand0_occ40,21,2.041901244632523,1.8592216209410755,1.0495726166619823,0.9939060746728169,0.051091148184222696,0.04838140947675064,0.24242424242424243,0.0891009055627426,-0.1826796236914474,-0.05566654198916543,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5134885187385086,0,0,0,False,0,1,1.8592216209410755,0,0,precomputed,0,0.0,4.64206375181675,0,22,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.478089176118374,3.140578977763653,27.260731905698776,2.041901244632523,1.996456398670913,3.2677826166950212,2.0420556943493073,1.9457380549825365,1.598450627598263
sugar_box_yalehand0_occ40,22,1.9731824677178273,2.0062656256053466,1.0482761231708828,0.9806204388794756,0.05102803740939674,0.04773469063494437,0.22727272727272727,0.0891009055627426,0.033083157887519254,-0.06765568429140723,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5165102732720931,0,0,0,False,0,1,1.9731824677178273,0,0,precomputed,0,0.0,4.142726771533489,0,23,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.751918502151966,3.1879059970378876,27.082551270723343,1.9731824677178273,2.038394830146693,3.4781142148641857,1.9733345571342942,1.9904259297070144,1.5739237457678728
sugar_box_yalehand0_occ40,23,1.9898834138035189,2.0151903959959165,1.0843237215686452,0.9776998058441676,0.05278276420217715,0.047592519914376956,0.3888888888888889,0.0891009055627426,0.025306982192397687,-0.1066239157244776,MODE_2_PRIOR,full,four_mode_relocalization_v2,1.0,0,0,0,False,0,1,1.9898834138035189,0,0,precomputed,0,0.0,4.436228424310684,0,24,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,19.47773154824972,1.4235973358154297,25.337557308375835,1.9898834138035189,2.0235595815819405,3.602166689989055,1.9901256553424869,2.0151903959959165,1.5365231774595236
sugar_box_yalehand0_occ40,24,1.9530838985191838,2.04317673669874,1.0325368595391518,1.026415116018595,0.050261880749291825,0.0499638862128592,0.12499999999999999,0.12499999999999999,0.09009283817955627,-0.006121743520556722,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5014723147991224,0,0,0,False,0,1,1.9530838985191838,0,0,precomputed,0,0.0,3.855086863040924,0,25,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,21.10698726028204,2.997584640979767,27.95965876430273,1.9530838985191838,1.982016655581388,3.779736513231472,1.9532403043778752,1.9952368503218048,1.4967606787955534
sugar_box_yalehand0_occ40,25,2.037813555135171,1.9884419211401887,1.0178237497506646,0.9957003373296285,0.04954567525715061,0.04846875068385275,0.09302325581395349,0.0891009055627426,-0.049371633994982345,-0.022123412421036104,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5054396730684416,0,0,0,False,0,1,1.9884419211401887,0,0,precomputed,0,0.0,3.7752045318484306,0,26,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,20.34897916018963,1.6222121194005013,25.74639581143856,2.037813555135171,1.9951271981314629,3.966240691525426,2.0380343922888065,2.01271964851972,1.474862326705066
sugar_box_yalehand0_occ40,26,1.9912614173328669,2.023262279731109,0.9991168737676656,1.0339173351761164,0.048635061014992764,0.05032907961120305,0.0891009055627426,0.12499999999999999,0.03200086239824196,0.03480046140845083,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.4915246269991881,0,0,0,False,0,1,1.9912614173328669,0,0,precomputed,0,0.0,3.7407437339425087,0,27,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,21.30460273474455,1.4239978045225143,26.469344273209572,1.9912614173328669,1.9963854509287973,4.138747281600131,1.9914208371543962,2.00756577487848,1.4440550952988291
sugar_box_yalehand0_occ40,27,2.2177881212176636,1.9886941473191762,1.0548011552068792,1.019169677813556,0.051345663244299074,0.04961119241052794,0.24242424242424243,0.09302325581395349,-0.2290939738984874,-0.035631477393323285,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5085081121550119,0,0,0,False,0,1,1.9886941473191762,0,0,precomputed,0,0.0,3.166330046951771,0,28,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,18.063596449792385,1.0281335562467575,22.258060052990913,2.2177881212176636,2.0955876368244146,4.2871858300286485,2.218053167463229,2.0965072097872723,1.402265038302326
sugar_box_yalehand0_occ40,28,2.3280950784063554,2.2276289276838974,1.0405755596521247,1.039486932316574,0.05065318899434362,0.05060019673860538,0.1346153846153846,0.12499999999999999,-0.10046615072245801,-0.001088627335550596,MODE_4_TRUSTED_FUSION,full,four_mode_relocalization_v2,0.5002591892716797,0,0,0,False,0,1,2.2276289276838974,0,0,precomputed,0,0.0,2.789737656712532,0,29,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,14.156792312860489,1.0103462263941765,17.956876195967197,2.3280950784063554,2.2814915160145994,4.449133987484977,2.328344674278625,2.277758727527921,1.3928082587687334
sugar_box_yalehand0_occ40,29,2.524823963335623,2.4263782154615243,1.142138742434502,1.1159327393894847,0.05559708667157015,0.05432142954824758,0.7272727272727273,0.6060606060606061,-0.09844574787409854,-0.0262060030450173,MODE_3_RELOCALIZE,full,four_mode_relocalization_v2,,0,0,0,False,1,1,2.4263782154615243,0,0,precomputed,1,0.0,3.0672261491417885,0,30,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,1,1,1,1.0275715863762735,,1,26850.36462545395,0,15.907132998108864,26850.36462545395,26869.3389846012,2.524823963335623,2.4802741365085685,4.586836734902878,2.5251601875449623,1.0275715863762735,1.3602585935130878
