episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
cracker_box_yalehand0_black10,0,1.0682120052359811,1.0682120052359811,1.907594128208535,1.907594128208535,0.06854074517096394,0.06854074517096394,0.9274193548387096,0.9274193548387096,0.0,0.0,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,1,1.0682120052359811,0,0,precomputed,1,0.0,2.001328393816948,0,1,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.49981678039482635,,1,30541.399530135095,0,14.686846174299717,30541.399530135095,30543.400858528912,1.0682120052359811,1.0682120052359811,1.0682120052359811,1.0682120052359811,0.49981678039482635,1.0682120052359811
cracker_box_yalehand0_black10,1,0.8811969291455692,0.8811969291455692,1.7874068576935997,1.7874068576935997,0.06422236058414718,0.06422236058414718,0.7946843853820601,0.7946843853820601,0.0,0.0,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.8811969291455692,0,0,restarted_se3,1,13596.100913360715,2.5314679369330406,0,2,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4680673205500923,,1,2445.8414195105433,0,25.935993529856205,2445.8414195105433,16044.473800808191,1.8532698322086496,1.8532698322086545,1.8532698322086496,1.8532698322086545,0.4680673205500923,1.8532698322086496
cracker_box_yalehand0_black10,2,0.8418391241222279,0.43530653670363123,1.748317849052333,1.1495865742005258,0.06281787430446736,0.04130518083961417,0.7946843853820601,0.7272727272727273,-0.4065325874185967,-0.5987312748518072,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.43530653670363123,0,0,restarted_se3,1,48.12333360314369,4.1881222277879715,0,3,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.44616641176932437,,1,2438.286696560681,0,23.294021375477314,2438.286696560681,2490.5981523916125,2.6168047545782,2.6495121093576017,2.6902113571503055,2.6168202102312708,0.44616641176932437,2.6168047545782
cracker_box_yalehand0_black10,3,0.9466854678061305,0.4246471065760243,1.8650021114611917,1.1606956253929526,0.06701039417908987,0.04170433422114946,0.9274193548387096,0.7946843853820601,-0.5220383612301063,-0.7043064860682391,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4246471065760243,0,0,restarted_se3,1,46.44674155861139,2.0858338102698326,0,4,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4709478584185337,,1,2446.4205456897616,0,19.938640296459198,2446.4205456897616,2494.953121058643,3.411271224166458,3.3996791188366395,3.4675794803783444,3.411305001296003,0.4709478584185337,3.365984323456862
cracker_box_yalehand0_black10,4,0.8383869366313116,0.4993062318486543,1.754624277562377,1.1558949559750757,0.06304446721700258,0.04153184393385248,0.7946843853820601,0.7946843853820601,-0.3390807047826573,-0.5987293215873013,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4993062318486543,0,0,restarted_se3,1,47.53725416958332,2.081857994198799,0,5,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.5116496251147717,,1,2448.779755271971,0,22.121633403003216,2448.779755271971,2498.3988674357533,4.413616565911319,4.373957186404938,4.333558886795036,4.4136950603297915,0.5116496251147717,4.2817325158943005
cracker_box_yalehand0_black10,5,0.8341428494153384,0.5570702404977128,1.7688091406294786,1.163560405762042,0.06355413595124232,0.04180726711360543,0.7946843853820601,0.7946843853820601,-0.27707260891762564,-0.6052487348674367,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.5570702404977128,0,0,restarted_se3,1,40.951368398964405,2.5525055825710297,0,6,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.496729041033728,,1,2447.159944102168,0,20.191297866404057,2447.159944102168,2490.6638180837035,5.466442659588775,5.4736665568689205,5.371448066024838,5.466568349457032,0.496729041033728,5.291488846941221
cracker_box_yalehand0_black10,6,0.8043470967440024,0.4782583748324061,1.7351124080872544,1.144412118652678,0.06234339666235611,0.04111926024263865,0.7946843853820601,0.7272727272727273,-0.3260887219115963,-0.5907002894345765,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4782583748324061,0,0,restarted_se3,1,30.25050275027752,2.721790224313736,0,7,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4741967752860521,,1,2446.422497741878,0,20.35325486212969,2446.422497741878,2479.3947907164693,6.227988423333377,6.396786956053161,6.574933949887794,6.297148312296712,0.4741967752860521,6.227988423333377
cracker_box_yalehand0_black10,7,0.9203153664439029,0.4565412111911881,1.7649036211483413,1.1663605365984961,0.06341380881793947,0.04190787711825407,0.7946843853820601,0.7946843853820601,-0.46377415525271476,-0.5985430845498452,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4565412111911881,0,0,restarted_se3,1,46.08441796153784,2.0497553050518036,0,8,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.45704239577289,,1,2453.0095532536507,0,22.276317700743675,2453.0095532536507,2501.1437265202403,6.890921201078931,7.0968564138928265,7.886141493590677,6.89111276010481,0.45704239577289,6.890921201078931
cracker_box_yalehand0_black10,8,0.8648492437364483,0.4468655336769102,1.8360381041658382,1.13901116086668,0.06596970391180271,0.04092520131479069,0.9274193548387096,0.7272727272727273,-0.41798371005953816,-0.6970269432991583,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4468655336769102,0,0,restarted_se3,1,46.4392164722085,2.421651966869831,0,9,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4608360225693138,,1,2453.784367069602,0,23.161139339208603,2453.784367069602,2502.6452355086803,7.493026229376393,7.643581959944061,9.26120345305803,7.493267092323245,0.4608360225693138,7.493026229376393
cracker_box_yalehand0_black10,9,0.8223782170622269,0.4647927232715291,1.7160349506471455,1.1604912708807351,0.06165793473438279,0.041696991668381395,0.7946843853820601,0.7946843853820601,-0.3575854937906978,-0.5555436797664104,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4647927232715291,0,0,restarted_se3,1,46.66233155876398,1.6960008069872856,0,10,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.46226341122076176,,1,2461.372115649283,0,21.753644570708275,2461.372115649283,2509.730448015034,8.209867225274085,8.212868047043246,10.670520931200741,8.210103848275176,0.46226341122076176,8.101635337689594
cracker_box_yalehand0_black10,10,0.936040643784539,0.4587325124340669,1.8319637075570332,1.1230099164196437,0.06582330894467633,0.040350269151892604,0.9274193548387096,0.66,-0.4773081313504721,-0.7089537911373895,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4587325124340669,0,0,restarted_se3,1,42.78808832168579,1.780843362212181,0,11,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4356882781740293,,1,2463.034965097904,0,21.68264612555504,2463.034965097904,2507.603896781802,8.981670937727436,8.908465742487756,12.077031170968148,8.98187935080837,0.4356882781740293,8.722970104197055
cracker_box_yalehand0_black10,11,0.9342878292675527,0.41864307915553817,1.753664327501897,1.1310202299198246,0.06300997576439257,0.04063808344542424,0.7946843853820601,0.66,-0.5156447501120145,-0.6226440975820724,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.41864307915553817,0,0,restarted_se3,1,47.29339387267828,4.2969416826963425,0,12,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.48984676939754235,,1,2460.8081514015794,0,20.267417654395103,2460.8081514015794,2512.398486956954,9.743482418181593,9.701080834193785,13.421713799805088,9.76215405967115,0.48984676939754235,9.332114730843875
cracker_box_yalehand0_black10,12,0.8926830431925936,0.5496175815491641,1.7552612475975478,1.1997187846100146,0.06306735384692902,0.0431064545003592,0.7946843853820601,0.7946843853820601,-0.34306546164342955,-0.5555424629875332,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.5496175815491641,0,0,restarted_se3,1,41.15196876227856,2.350885421037674,0,13,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4306976042008243,,1,2454.2865054681897,0,20.937957800924778,2454.2865054681897,2497.789359651506,10.604192003312683,10.570461271482191,14.731390122351257,10.604502242382358,0.4306976042008243,9.954710740333601
cracker_box_yalehand0_black10,13,0.8322515393701851,0.3961110533328493,1.6270678403587715,1.1263505208251217,0.05846130504009916,0.040470298623511855,0.7946843853820601,0.66,-0.43614048603733585,-0.5007173195336498,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.3961110533328493,0,0,restarted_se3,1,37.57674805819988,1.898561604321003,0,14,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.44770986421388437,,1,2455.042703077197,0,20.40336187928915,2455.042703077197,2494.518012739718,11.529203469366903,11.48999767718186,15.945586062484058,11.529561267225379,0.44770986421388437,10.572380910181108
cracker_box_yalehand0_black10,14,0.7968255555379042,0.4728340772016231,1.616166952536748,1.2005606366269375,0.058069631065379886,0.04313670263527968,0.7946843853820601,0.7946843853820601,-0.3239914783362811,-0.41560631590981045,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4728340772016231,0,0,restarted_se3,1,40.425258688628674,4.552163183689117,0,15,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4385484557283327,,1,2459.6149176359177,0,22.12253212928772,2459.6149176359177,2504.5923395082355,12.848582048723815,12.641594488027957,17.103557276200696,12.84893469332769,0.4385484557283327,11.207284556885936
cracker_box_yalehand0_black10,15,0.9051194864015963,0.4272712124605344,1.8340506178710068,1.158196529178503,0.0658982926038885,0.04161454053062622,0.9274193548387096,0.7946843853820601,-0.47784827394106194,-0.6758540886925037,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4272712124605344,0,0,restarted_se3,1,45.062375254929066,2.3249220103025436,0,16,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.5108432083541942,,1,2443.8922852277756,0,23.164174519479275,2443.8922852277756,2491.279582493007,13.635509453182662,13.734594519037739,18.15415237675082,13.683696628292275,0.5108432083541942,11.857274334427085
cracker_box_yalehand0_black10,16,0.8993490637208121,0.6009852487719176,1.7584067350912242,1.1927696178787504,0.06318037267706403,0.04285676770428721,0.7946843853820601,0.7946843853820601,-0.2983638149488945,-0.5656371172124739,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.6009852487719176,0,0,restarted_se3,1,50.07470306009054,2.0564543083310127,0,17,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.46129438059693656,,1,2454.156279563904,0,21.790456026792526,2454.156279563904,2506.2874369323254,14.437037798823656,14.648549948636013,19.1164337539342,14.437271129636192,0.46129438059693656,12.503537654303617
cracker_box_yalehand0_black10,17,0.9997806559202894,0.41868000543942124,1.886840998413396,1.1875514866579575,0.06779507555510891,0.042669277820048104,0.9274193548387096,0.7946843853820601,-0.5811006504808682,-0.6992895117554385,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.41868000543942124,0,0,restarted_se3,1,44.82655320316553,1.6282787546515465,0,18,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.42562262282701147,,1,2448.223626241088,0,22.313423454761505,2448.223626241088,2494.678458198905,15.24281033733888,15.418461599588914,19.999926703089002,15.241345084720178,0.42562262282701147,13.176551737863775
cracker_box_yalehand0_black10,18,0.8737131928547381,0.39290238807833205,1.740922612308042,1.168332518129224,0.06255216000514446,0.041978731332775264,0.7946843853820601,0.7946843853820601,-0.4808108047764061,-0.572590094178818,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.39290238807833205,0,0,restarted_se3,1,44.77570205926895,2.2754808887839317,0,19,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.43516557066941636,,1,2472.887961193919,0,22.518298588693142,2472.887961193919,2519.939144141972,16.03937641129926,16.13015668369681,20.825267771982432,16.03968601638569,0.43516557066941636,13.873992870825793
cracker_box_yalehand0_black10,19,0.8977821034179048,0.4540648152372069,1.7775327484088732,1.1898080347154911,0.06386757924032418,0.04275035664236693,0.7946843853820601,0.7946843853820601,-0.4437172881806979,-0.5877247136933821,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.4540648152372069,0,0,restarted_se3,1,44.58712041378021,2.4097422137856483,0,20,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4757870880898592,,1,2454.6261727809906,0,23.64948019385338,2454.6261727809906,2501.6230354085565,17.12868335349387,16.96022591638363,21.586242029656365,17.129073517771644,0.4757870880898592,14.579891476125676
cracker_box_yalehand0_black10,20,0.8901387098209331,0.5168837706412055,1.7944456959889088,1.2015216705516285,0.0644752693212649,0.043171233031635406,0.7946843853820601,0.7946843853820601,-0.37325493917972763,-0.5929240254372803,MODE_3_RELOCALIZE,simple,four_mode_relocalization_v2,,0,0,0,False,1,0,0.5168837706412055,0,0,restarted_se3,1,40.168567560613155,2.437775954604149,0,21,cache_read_only_not_online_fps,25d8fa350a0c624bffa0b6eebc3fca65351d373421dd6e9bda88a14c9875bccb,cached_perception_v2,1,1,1,0.4555872525333417,,1,2454.612586647272,0,21.15532662719488,2454.612586647272,2497.2189301624894,18.121505301317324,17.948270333133802,22.278079737727925,18.16230550882114,0.4555872525333417,15.298291109257276
