episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
sugar_box1_black10_5,0,0.32627582796391863,0.32627582796391863,0.1520104767850549,0.1520104767850549,0.007399573570887826,0.007399573570887826,0.0,0.0,0.0,0.0,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.32627582796391863,0,0,precomputed,0,0.0,3.4085214138031006,0,1,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,21.158591844141483,5.2395472303032875,8.648068644106388,0.32627582796391863,0.32627582796391946,0.32627582796391863,0.32627582796392546,0.32627582796391863,0.32627582796391863
sugar_box1_black10_5,1,0.35930264938625606,0.35930264938625606,0.16854180384475154,0.16854180384475154,0.008204286334045612,0.008204286334045612,0.0,0.0,0.0,0.0,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.35930264938625606,0,0,precomputed,0,0.0,3.9573637768626213,0,2,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,20.291713066399097,0.702948309481144,4.660312086343765,0.35930264938625606,0.3593026493862576,0.35930264938625606,0.3593026493862571,0.35930264938625606,0.35930264938625606
sugar_box1_black10_5,2,0.36806875482901513,0.4039178080214154,0.17341100079226593,0.18332509584748394,0.008441309345921445,0.008923908159512387,0.0,0.0,0.03584905319240028,0.009914095055218008,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.36806875482901513,0,0,precomputed,0,0.0,2.0651472732424736,0,3,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.994005016982555,0.6082737818360329,2.6734210550785065,0.36806875482901513,0.3858272521808629,0.36806875482901513,0.3680686931194498,0.36806875482901513,0.36806875482901513
sugar_box1_black10_5,3,0.39457067696300674,0.3864634895777955,0.1737617255304539,0.19534534462563038,0.00845838194222033,0.00950903042907831,0.0,0.0,-0.008107187385211212,0.021583619095176476,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3864634895777955,0,0,precomputed,0,0.0,2.1240487694740295,0,4,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.848478250205517,0.6821872666478157,2.8062360361218452,0.39457067696300674,0.4084636395760137,0.39457067696300674,0.3945707360466213,0.39457067696300674,0.3864634895777955
sugar_box1_black10_5,4,0.3618830426400411,0.4186348144067962,0.17419612008802854,0.17349090577788298,0.008479527422160585,0.008445198964796796,0.0,0.0,0.056751771766755055,-0.0007052143101455577,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3618830426400411,0,0,precomputed,0,0.0,1.5076585114002228,0,5,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.728217497467995,0.5942778661847115,2.1019363775849342,0.3618830426400411,0.3931308091245254,0.3618830426400411,0.3618829721373382,0.3618830426400411,0.3618830426400411
sugar_box1_black10_5,5,0.35768894639484006,0.31799335762513703,0.17509522853222004,0.17516250302824396,0.00852329426785247,0.008526569059125425,0.0,0.0,-0.03969558876970303,6.727449602392244e-05,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.31799335762513703,0,0,precomputed,0,0.0,1.8332237377762794,0,6,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.800862520933151,0.5961358547210693,2.429359592497349,0.35768894639484006,0.3620133612609216,0.35768894639484006,0.35768882584812106,0.35768894639484006,0.33922645706581506
sugar_box1_black10_5,6,0.3755016915588387,0.3737252736144997,0.1712132436423141,0.15929097654973023,0.008334326813756846,0.007753974101567848,0.0,0.0,-0.001776417944339026,-0.011922267092583871,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3737252736144997,0,0,precomputed,0,0.0,1.453920267522335,0,7,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.812152944505215,0.6437972187995911,2.097717486321926,0.3755016915588387,0.36398486033829053,0.3755016915588387,0.3755015995579175,0.3755016915588387,0.3645420993730316
sugar_box1_black10_5,7,0.3601070920938525,0.37716888139704696,0.16927326198735912,0.18509116230579822,0.008239892289994971,0.009009876830657682,0.0,0.0,0.017061789303194463,0.015817900318439104,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3601070920938525,0,0,precomputed,0,0.0,1.4949114993214607,0,8,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.532082058489323,0.6141318008303642,2.109043300151825,0.3601070920938525,0.3546262460594105,0.3601070920938525,0.3601070314850434,0.3601070920938525,0.3601070920938525
sugar_box1_black10_5,8,0.3343716241633632,0.3438087098028583,0.16408101725371593,0.16819423403208258,0.007987143941873054,0.008187367313368502,0.0,0.0,0.009437085639495135,0.004113216778366652,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3343716241633632,0,0,precomputed,0,0.0,2.1095052361488342,0,9,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.896470233798027,0.6046369671821594,2.7141422033309937,0.3343716241633632,0.3388167630743551,0.3343716241633632,0.3343717121734574,0.3343716241633632,0.3343716241633632
sugar_box1_black10_5,9,0.34648681978569046,0.32940686721288664,0.17290345585080327,0.16086941836413987,0.008416603047945712,0.007830809570938853,0.0,0.0,-0.017079952572803814,-0.012034037486663401,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.32940686721288664,0,0,precomputed,0,0.0,2.043803222477436,0,10,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.741184301674366,0.5943374708294868,2.638140693306923,0.34648681978569046,0.3395134382486114,0.34648681978569046,0.34648696474535134,0.34648681978569046,0.32940686721288664
sugar_box1_black10_5,10,0.342900409303117,0.3494985284510211,0.1803934135379558,0.17576658462749187,0.008781199581823374,0.008555974573343863,0.0,0.0,0.006598119147904091,-0.004626828910463926,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.342900409303117,0,0,precomputed,0,0.0,2.1656211465597153,0,11,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.16965601593256,0.6051575765013695,2.7707787230610847,0.342900409303117,0.3359640617308533,0.342900409303117,0.3429004080797092,0.342900409303117,0.3294544738060107
sugar_box1_black10_5,11,0.35787449364760415,0.36374691277980903,0.16835670870767824,0.18160330941383807,0.008195276263731024,0.008840094953616491,0.0,0.0,0.005872419132204876,0.013246600706159822,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.35787449364760415,0,0,precomputed,0,0.0,1.924164593219757,0,12,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.679453447461128,0.6104344502091408,2.534599043428898,0.35787449364760415,0.3569549340831055,0.35787449364760415,0.3578743305055969,0.35787449364760415,0.35787449364760415
sugar_box1_black10_5,12,0.35498606571550145,0.35343676982440786,0.17320590453485193,0.16888863627732592,0.008431325660073302,0.0082211694604977,0.0,0.0,-0.0015492958910935939,-0.0043172682575260135,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.35343676982440786,0,0,precomputed,0,0.0,1.4481013640761375,0,13,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.859072975814342,0.6088120862841606,2.056913450360298,0.35498606571550145,0.3564791216271189,0.35498606571550145,0.35498599579770207,0.35498606571550145,0.35498606571550145
sugar_box1_black10_5,13,0.34680568582224647,0.3538867848886293,0.1694063360779191,0.16555683601928486,0.00824637007721269,0.008058983921353981,0.0,0.0,0.007081099066382823,-0.003849500058634242,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.34680568582224647,0,0,precomputed,0,0.0,1.9704131409525871,0,14,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.106967762112617,0.6320327520370483,2.6024458929896355,0.34680568582224647,0.3522787570205716,0.34680568582224647,0.34680595132331926,0.34680568582224647,0.34680568582224647
sugar_box1_black10_5,14,0.3622645915473789,0.3421019466729374,0.16346858234179268,0.17523880944270034,0.007957331804683561,0.008530283506574327,0.0,0.0,-0.02016264487444147,0.011770227100907665,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3421019466729374,0,0,precomputed,0,0.0,1.467173919081688,0,15,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.077713057398796,0.7306039333343506,2.1977778524160385,0.3622645915473789,0.3570545463381332,0.3622645915473789,0.36226455255116247,0.3622645915473789,0.3421019466729374
sugar_box1_black10_5,15,0.3729869143141822,0.39265085401654803,0.16557580013840614,0.1694595897898089,0.008059907057690455,0.008248962364056239,0.0,0.0,0.01966393970236585,0.0038837896514027637,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3729869143141822,0,0,precomputed,0,0.0,1.4568045735359192,0,16,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.750043973326683,0.6322599947452545,2.0890645682811737,0.3729869143141822,0.3745481271680823,0.3729869143141822,0.37298686040872886,0.3729869143141822,0.3510964193668395
sugar_box1_black10_5,16,0.3691375753854158,0.3695679342640009,0.17446429115291195,0.17137555660782558,0.008492581466632756,0.008342227892387824,0.0,0.0,0.0004303588785851131,-0.0030887345450863746,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3691375753854158,0,0,precomputed,0,0.0,2.1466752514243126,0,17,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.942475706338882,0.6185928359627724,2.765268087387085,0.3691375753854158,0.3742824453962121,0.3691375753854158,0.3691374063597903,0.3691375753854158,0.3475517011972748
sugar_box1_black10_5,17,0.35304359009927166,0.35986021426194664,0.16980667130582702,0.18657320133536934,0.008265857615404625,0.00908201960045996,0.0,0.0,0.006816624162674978,0.016766530029542315,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.35304359009927166,0,0,precomputed,0,0.0,2.252114936709404,0,18,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.567662306129932,0.6539123132824898,2.9060272499918938,0.35304359009927166,0.3601190703306362,0.35304359009927166,0.3530436708913526,0.35304359009927166,0.34273389869510174
sugar_box1_black10_5,18,0.3729084386185782,0.344555524259458,0.1721900230554337,0.1549558418562608,0.00838187453074827,0.007542948198732254,0.0,0.0,-0.028352914359120185,-0.017234181199172915,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.344555524259458,0,0,precomputed,0,0.0,1.9457917660474777,0,19,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,9.945377707481384,0.6291037425398827,2.5748955085873604,0.3729084386185782,0.35992483084710153,0.3729084386185782,0.37290854525807765,0.3729084386185782,0.33946458848956973
sugar_box1_black10_5,19,0.3586875316629514,0.3987367781869996,0.1702272741399356,0.17859074426668145,0.008286331741142097,0.008693449157123143,0.0,0.0,0.04004924652404818,0.008363470126745848,MODE_1_ACCEPT,simple,four_mode_relocalization_v2,0.0,0,0,0,False,0,0,0.3586875316629514,0,0,precomputed,0,0.0,2.261909656226635,0,20,cache_read_only_not_online_fps,261a3ce88cc093bf95e2d02d11d88ab600f59600fb34da3bc2f4b97f3950b6fb,cached_perception_v2,0,0,0,,,0,0.0,0,10.001354850828648,0.5999039858579636,2.8618136420845985,0.3586875316629514,0.36137492153537926,0.3586875316629514,0.35868737812704166,0.3586875316629514,0.3463413436656718
