Metric,Value,variant,base_sequence,source_variant,source_run
Shared error MAE_obs_cm,2.6233805434971247,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.1547746952222634,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.8588851112404386,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.941086652912695,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.9210812318320744,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.0821786448281134,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.0246547955655308,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,0.2411465969981777,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.1341420161555673,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_prior,0.632830167914158,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_prior_abs_risk,0.8408108749936009,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_prior_abs_risk,0.4363297159129092,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_prior_abs_risk,0.1144515666821422,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_prior_abs_risk,0.0733611959264165,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_AUROC_prior_worse,0.9572974252859364,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.8023049919186305,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.9355197331851028,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
prior_advantage_margin_cm,0.1,full,cracker_box_reorient,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,4.832233833121346,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.82310015551455,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.5046627631720215,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.6091981675320483,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.8742065756478083,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.1741383314019026,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.0854097928898166,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,0.7052382099817651,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.5180710957315623,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
