comparison,metric,unit,favorable_sign,base_sequence,estimate,aggregation,ci_low,ci_high,independent_objects
full-minus-no_quality,auc_percent,percentage_points,positive,cracker_box_reorient,11.736121306491697,sequence,,,
full-minus-no_quality,auc_percent,percentage_points,positive,cracker_box_yalehand0,19.915854898690043,sequence,,,
full-minus-no_quality,auc_percent,percentage_points,positive,sugar_box1,2.672751153701796,sequence,,,
full-minus-no_quality,auc_percent,percentage_points,positive,sugar_box_yalehand0,-0.05697092079881827,sequence,,,
full-minus-no_quality,auc_percent,percentage_points,positive,tomato_soup_can_yalehand0,0.24292471200388377,sequence,,,
full-minus-no_quality,auc_percent,percentage_points,positive,SEQUENCE_MACRO,6.90213623001772,equal_weight_five_sequences,,,
full-minus-no_quality,auc_percent,percentage_points,positive,OBJECT_MACRO,5.792267643682081,object_cluster_bootstrap_exploratory_n3,0.24292471200388377,15.82598810259087,3.0
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,cracker_box_reorient,-22.992592592592587,sequence,,,
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,cracker_box_yalehand0,-30.419492589801557,sequence,,,
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,sugar_box1,-1.4332965821389259,sequence,,,
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,sugar_box_yalehand0,-0.36593479707252285,sequence,,,
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,tomato_soup_can_yalehand0,0.11043153244988702,sequence,,,
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,SEQUENCE_MACRO,-11.020177005831142,equal_weight_five_sequences,,,
full-minus-no_quality,failure_1cm_percent,percentage_points,negative,OBJECT_MACRO,-9.165075582784302,object_cluster_bootstrap_exploratory_n3,-26.706042591197072,0.11043153244988702,3.0
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,cracker_box_reorient,-17.866666666666667,sequence,,,
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,cracker_box_yalehand0,-28.250858243322444,sequence,,,
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,sugar_box1,-1.6415533504838926,sequence,,,
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,sugar_box_yalehand0,0.1441561321800835,sequence,,,
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,tomato_soup_can_yalehand0,-0.22935779816513957,sequence,,,
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,SEQUENCE_MACRO,-9.568855985291611,equal_weight_five_sequences,,,
full-minus-no_quality,failure_2cm_percent,percentage_points,negative,OBJECT_MACRO,-8.012272954103867,object_cluster_bootstrap_exploratory_n3,-23.058762454994554,-0.22935779816513957,3.0
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,cracker_box_reorient,-0.0037667296926429117,sequence,,,
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,cracker_box_yalehand0,0.0021708051516498017,sequence,,,
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,sugar_box1,-0.0022318042653779457,sequence,,,
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,sugar_box_yalehand0,0.0014652043926730585,sequence,,,
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,tomato_soup_can_yalehand0,-3.9428317206095045,sequence,,,
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,SEQUENCE_MACRO,-0.7890388490046405,equal_weight_five_sequences,,,
full-minus-no_recovery_admission,auc_percent,percentage_points,positive,OBJECT_MACRO,-1.3146709942721178,object_cluster_bootstrap_exploratory_n3,-3.9428317206095045,-0.00038329993635244364,3.0
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,cracker_box_reorient,0.0,sequence,,,
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,cracker_box_yalehand0,-0.08373105584861307,sequence,,,
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,sugar_box1,0.0857527869655712,sequence,,,
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,sugar_box_yalehand0,-0.05544466622311006,sequence,,,
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,tomato_soup_can_yalehand0,4.3408086986068675,sequence,,,
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,SEQUENCE_MACRO,0.8574771527001431,equal_weight_five_sequences,,,
full-minus-no_recovery_admission,failure_1cm_percent,percentage_points,negative,OBJECT_MACRO,1.4380324103512638,object_cluster_bootstrap_exploratory_n3,-0.041865527924306534,4.3408086986068675,3.0
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,cracker_box_reorient,0.0,sequence,,,
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,cracker_box_yalehand0,0.0,sequence,,,
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,sugar_box1,0.0,sequence,,,
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,sugar_box_yalehand0,0.0,sequence,,,
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,tomato_soup_can_yalehand0,4.043493034318729,sequence,,,
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,SEQUENCE_MACRO,0.8086986068637458,equal_weight_five_sequences,,,
full-minus-no_recovery_admission,failure_2cm_percent,percentage_points,negative,OBJECT_MACRO,1.3478310114395764,object_cluster_bootstrap_exploratory_n3,0.0,4.043493034318729,3.0
full-minus-no_rollout,auc_percent,percentage_points,positive,cracker_box_reorient,14.295332369406466,sequence,,,
full-minus-no_rollout,auc_percent,percentage_points,positive,cracker_box_yalehand0,46.87230980457139,sequence,,,
full-minus-no_rollout,auc_percent,percentage_points,positive,sugar_box1,0.17451605715724838,sequence,,,
full-minus-no_rollout,auc_percent,percentage_points,positive,sugar_box_yalehand0,-0.7999627482883227,sequence,,,
full-minus-no_rollout,auc_percent,percentage_points,positive,tomato_soup_can_yalehand0,-20.92784255543347,sequence,,,
full-minus-no_rollout,auc_percent,percentage_points,positive,SEQUENCE_MACRO,7.922870585482661,equal_weight_five_sequences,,,
full-minus-no_rollout,auc_percent,percentage_points,positive,OBJECT_MACRO,3.1144183953299724,object_cluster_bootstrap_exploratory_n3,-20.92784255543347,30.583821086988923,3.0
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,cracker_box_reorient,-31.94074074074074,sequence,,,
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,cracker_box_yalehand0,-63.685841078456,sequence,,,
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,sugar_box1,5.059414430969007,sequence,,,
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,sugar_box_yalehand0,5.466844089598583,sequence,,,
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,tomato_soup_can_yalehand0,19.36799184505607,sequence,,,
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,SEQUENCE_MACRO,-13.146466290714619,equal_weight_five_sequences,,,
full-minus-no_rollout,failure_1cm_percent,percentage_points,negative,OBJECT_MACRO,-7.727389934752835,object_cluster_bootstrap_exploratory_n3,-47.81329090959837,19.36799184505607,3.0
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,cracker_box_reorient,-25.125925925925927,sequence,,,
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,cracker_box_yalehand0,-56.82826760445449,sequence,,,
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,sugar_box1,-1.2372902119318852,sequence,,,
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,sugar_box_yalehand0,0.4546462630294945,sequence,,,
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,tomato_soup_can_yalehand0,20.064559972816852,sequence,,,
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,SEQUENCE_MACRO,-12.534455501293191,equal_weight_five_sequences,,,
full-minus-no_rollout,failure_2cm_percent,percentage_points,negative,OBJECT_MACRO,-7.101286255608184,object_cluster_bootstrap_exploratory_n3,-40.97709676519021,20.064559972816852,3.0
full-minus-B1,auc_percent,percentage_points,positive,cracker_box_reorient,46.316568420272134,sequence,,,
full-minus-B1,auc_percent,percentage_points,positive,cracker_box_yalehand0,91.85578025484247,sequence,,,
full-minus-B1,auc_percent,percentage_points,positive,sugar_box1,28.95010654412836,sequence,,,
full-minus-B1,auc_percent,percentage_points,positive,sugar_box_yalehand0,60.83104617147643,sequence,,,
full-minus-B1,auc_percent,percentage_points,positive,tomato_soup_can_yalehand0,35.58001596567685,sequence,,,
full-minus-B1,auc_percent,percentage_points,positive,SEQUENCE_MACRO,52.706703471279255,equal_weight_five_sequences,,,
full-minus-B1,auc_percent,percentage_points,positive,OBJECT_MACRO,49.852255553678845,object_cluster_bootstrap_exploratory_n3,35.58001596567685,69.08617433755731,3.0
