episode,recovery_index,raw_recovery_error_cm_full,generated_count_full,raw_recovery_error_cm_control,generated_count_control,_merge,control,raw_error_delta_cm
cracker_box_reorient_black10,100.0,0.3906250554493246,1,0.3906250554493246,1,both,no_quality,0.0
cracker_box_reorient_black10_2,260.0,0.306433321267284,1,0.306433321267284,1,both,no_quality,0.0
cracker_box_reorient_black10_3,160.0,0.394141852228596,1,0.394141852228596,1,both,no_quality,0.0
cracker_box_reorient_black10_4,190.0,0.39611016581489,1,0.39611016581489,1,both,no_quality,0.0
cracker_box_reorient_black10_5,310.0,0.2385075724279691,1,0.2385075724279691,1,both,no_quality,0.0
cracker_box_yalehand0_black10,100.0,0.3430430767624516,1,0.3430430767624516,1,both,no_quality,0.0
cracker_box_yalehand0_black10_2,260.0,0.3733232446910616,1,0.3733232446910616,1,both,no_quality,0.0
cracker_box_yalehand0_black10_3,340.0,0.5214256924043736,1,0.5214256924043736,1,both,no_quality,0.0
cracker_box_yalehand0_black10_4,500.0,0.5791445460810881,1,0.5791445460810881,1,both,no_quality,0.0
cracker_box_yalehand0_black10_5,610.0,0.3385746466292901,1,0.3385746466292901,1,both,no_quality,0.0
sugar_box_yalehand0_black10,100.0,0.9744382536588808,1,0.9744382536588808,1,both,no_quality,0.0
sugar_box_yalehand0_black10_2,260.0,0.3135591900188783,1,0.3135591900188783,1,both,no_quality,0.0
sugar_box_yalehand0_black10_3,340.0,0.280109222554512,1,0.280109222554512,1,both,no_quality,0.0
sugar_box_yalehand0_black10_4,500.0,0.2663749177002661,1,0.2663749177002661,1,both,no_quality,0.0
sugar_box_yalehand0_black10_5,610.0,0.3043276480085792,1,0.3043276480085792,1,both,no_quality,0.0
sugar_box1_black10,100.0,0.2688826470563648,1,0.2688826470563648,1,both,no_quality,0.0
sugar_box1_black10_2,260.0,5.958832158000717,1,5.958832158000717,1,both,no_quality,0.0
sugar_box1_black10_3,340.0,0.3076533122133222,1,0.3076533122133222,1,both,no_quality,0.0
sugar_box1_black10_4,500.0,,0,,0,both,no_quality,
sugar_box1_black10_5,610.0,,0,,0,both,no_quality,
tomato_soup_can_yalehand0_black10,100.0,0.3092008911358477,1,0.3092008911358477,1,both,no_quality,0.0
tomato_soup_can_yalehand0_black10_2,260.0,0.4464657139593039,1,0.4464657139593039,1,both,no_quality,0.0
tomato_soup_can_yalehand0_black10_3,340.0,0.4267126888392482,1,0.4267126888392482,1,both,no_quality,0.0
tomato_soup_can_yalehand0_black10_4,500.0,0.3482437532521913,1,0.3482437532521913,1,both,no_quality,0.0
tomato_soup_can_yalehand0_black10_5,610.0,0.3502875748490348,1,0.3502875748490348,1,both,no_quality,0.0
cracker_box_reorient_black10,100.0,0.3906250554493246,1,0.3906250554493246,1,both,no_recovery_admission,0.0
cracker_box_reorient_black10_2,260.0,0.306433321267284,1,0.306433321267284,1,both,no_recovery_admission,0.0
cracker_box_reorient_black10_3,160.0,0.394141852228596,1,0.394141852228596,1,both,no_recovery_admission,0.0
cracker_box_reorient_black10_4,190.0,0.39611016581489,1,0.39611016581489,1,both,no_recovery_admission,0.0
cracker_box_reorient_black10_5,310.0,0.2385075724279691,1,0.2385075724279691,1,both,no_recovery_admission,0.0
cracker_box_yalehand0_black10,100.0,0.3430430767624516,1,0.3430430767624516,1,both,no_recovery_admission,0.0
cracker_box_yalehand0_black10_2,260.0,0.3733232446910616,1,0.3733232446910616,1,both,no_recovery_admission,0.0
cracker_box_yalehand0_black10_3,340.0,0.5214256924043736,1,0.5214256924043736,1,both,no_recovery_admission,0.0
cracker_box_yalehand0_black10_4,500.0,0.5791445460810881,1,0.5791445460810881,1,both,no_recovery_admission,0.0
cracker_box_yalehand0_black10_5,610.0,0.3385746466292901,1,0.3385746466292901,1,both,no_recovery_admission,0.0
sugar_box_yalehand0_black10,100.0,0.9744382536588808,1,0.9744382536588808,1,both,no_recovery_admission,0.0
sugar_box_yalehand0_black10_2,260.0,0.3135591900188783,1,0.3135591900188783,1,both,no_recovery_admission,0.0
sugar_box_yalehand0_black10_3,340.0,0.280109222554512,1,0.280109222554512,1,both,no_recovery_admission,0.0
sugar_box_yalehand0_black10_4,500.0,0.2663749177002661,1,0.2663749177002661,1,both,no_recovery_admission,0.0
sugar_box_yalehand0_black10_5,610.0,0.3043276480085792,1,0.3043276480085792,1,both,no_recovery_admission,0.0
sugar_box1_black10,100.0,0.2688826470563648,1,0.2688826470563648,1,both,no_recovery_admission,0.0
sugar_box1_black10_2,260.0,5.958832158000717,1,5.958832158000717,1,both,no_recovery_admission,0.0
sugar_box1_black10_3,340.0,0.3076533122133222,1,0.3076533122133222,1,both,no_recovery_admission,0.0
sugar_box1_black10_4,500.0,,0,,0,both,no_recovery_admission,
sugar_box1_black10_5,610.0,,0,,0,both,no_recovery_admission,
tomato_soup_can_yalehand0_black10,100.0,0.3092008911358477,1,0.3092008911358477,1,both,no_recovery_admission,0.0
tomato_soup_can_yalehand0_black10_2,260.0,0.4464657139593039,1,0.4464657139593039,1,both,no_recovery_admission,0.0
tomato_soup_can_yalehand0_black10_3,340.0,0.4267126888392482,1,0.4267126888392482,1,both,no_recovery_admission,0.0
tomato_soup_can_yalehand0_black10_4,500.0,0.3482437532521913,1,0.3482437532521913,1,both,no_recovery_admission,0.0
tomato_soup_can_yalehand0_black10_5,610.0,0.3502875748490348,1,0.3502875748490348,1,both,no_recovery_admission,0.0
cracker_box_reorient_black10,100.0,0.3906250554493246,1,0.3906250554493246,1,both,no_rollout,0.0
cracker_box_reorient_black10_2,260.0,0.306433321267284,1,0.306433321267284,1,both,no_rollout,0.0
cracker_box_reorient_black10_3,160.0,0.394141852228596,1,0.394141852228596,1,both,no_rollout,0.0
cracker_box_reorient_black10_4,190.0,0.39611016581489,1,0.39611016581489,1,both,no_rollout,0.0
cracker_box_reorient_black10_5,310.0,0.2385075724279691,1,0.2385075724279691,1,both,no_rollout,0.0
cracker_box_yalehand0_black10,100.0,0.3430430767624516,1,0.3430430767624516,1,both,no_rollout,0.0
cracker_box_yalehand0_black10_2,260.0,0.3733232446910616,1,0.3733232446910616,1,both,no_rollout,0.0
cracker_box_yalehand0_black10_3,340.0,0.5214256924043736,1,0.5214256924043736,1,both,no_rollout,0.0
cracker_box_yalehand0_black10_4,500.0,0.5791445460810881,1,0.5791445460810881,1,both,no_rollout,0.0
cracker_box_yalehand0_black10_5,610.0,0.3385746466292901,1,0.3385746466292901,1,both,no_rollout,0.0
sugar_box_yalehand0_black10,100.0,0.9744382536588808,1,0.9744382536588808,1,both,no_rollout,0.0
sugar_box_yalehand0_black10_2,260.0,0.3135591900188783,1,0.3135591900188783,1,both,no_rollout,0.0
sugar_box_yalehand0_black10_3,340.0,0.280109222554512,1,0.280109222554512,1,both,no_rollout,0.0
sugar_box_yalehand0_black10_4,500.0,0.2663749177002661,1,0.2663749177002661,1,both,no_rollout,0.0
sugar_box_yalehand0_black10_5,610.0,0.3043276480085792,1,0.3043276480085792,1,both,no_rollout,0.0
sugar_box1_black10,100.0,0.2688826470563648,1,0.2688826470563648,1,both,no_rollout,0.0
sugar_box1_black10_2,260.0,5.958832158000717,1,5.958832158000717,1,both,no_rollout,0.0
sugar_box1_black10_3,340.0,0.3076533122133222,1,0.3076533122133222,1,both,no_rollout,0.0
sugar_box1_black10_4,500.0,,0,,0,both,no_rollout,
sugar_box1_black10_5,610.0,,0,,0,both,no_rollout,
tomato_soup_can_yalehand0_black10,100.0,0.3092008911358477,1,0.3092008911358477,1,both,no_rollout,0.0
tomato_soup_can_yalehand0_black10_2,260.0,0.4464657139593039,1,0.4464657139593039,1,both,no_rollout,0.0
tomato_soup_can_yalehand0_black10_3,340.0,0.4267126888392482,1,0.4267126888392482,1,both,no_rollout,0.0
tomato_soup_can_yalehand0_black10_4,500.0,0.3482437532521913,1,0.3482437532521913,1,both,no_rollout,0.0
tomato_soup_can_yalehand0_black10_5,610.0,0.3502875748490348,1,0.3502875748490348,1,both,no_rollout,0.0
