variant,base_sequence,events,trigger_count,sam2_requested_count,sam2_cache_hit_count,generated_count,accepted_count,used_count,rejected_count,not_generated_count,raw_good_count,accepted_good_count,B5_latency_success,B5_latency_censored,raw_good_percent,accepted_good_percent,acceptance_percent,rejection_percent,successful_recovery_percent,complete_window_events,incomplete_window_events,B5_window_auc_percent,B5_window_failure_percent
full,cracker_box_reorient,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,94.87854521187855,6.0
full,cracker_box_yalehand0,5,5,5,5,5,4,4,1,0,5,4,5,0,100.0,100.0,80.0,20.0,100.0,5,0,95.09743076409742,1.0
full,sugar_box1,5,5,5,5,3,2,2,1,2,2,2,4,1,66.66666666666667,100.0,66.66666666666667,33.333333333333336,80.0,5,0,78.2550884217551,26.0
full,sugar_box_yalehand0,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,94.20053386720052,7.0
full,tomato_soup_can_yalehand0,5,5,5,5,5,1,1,4,0,5,1,2,3,100.0,100.0,20.0,80.0,40.0,5,0,39.10910910910911,70.33333333333333
full,ALL_EVENTS_DESCRIPTIVE,25,25,25,25,23,17,17,6,2,22,17,21,4,95.65217391304348,100.0,73.91304347826087,26.08695652173913,84.0,25,0,80.30814147480814,22.066666666666666
no_quality,cracker_box_reorient,5,5,5,5,5,5,5,0,0,5,5,4,1,100.0,100.0,100.0,0.0,80.0,5,0,67.55689022355689,44.0
no_quality,cracker_box_yalehand0,5,5,5,5,5,4,4,1,0,5,4,4,1,100.0,100.0,80.0,20.0,80.0,5,0,88.61828495161828,15.666666666666666
no_quality,sugar_box1,5,5,5,5,3,2,2,1,2,2,2,3,2,66.66666666666667,100.0,66.66666666666667,33.333333333333336,60.0,5,0,62.37721054387721,40.0
no_quality,sugar_box_yalehand0,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,94.25358692025358,8.0
no_quality,tomato_soup_can_yalehand0,5,5,5,5,5,1,1,4,0,5,1,2,3,100.0,100.0,20.0,80.0,40.0,5,0,27.7711044377711,71.66666666666666
no_quality,ALL_EVENTS_DESCRIPTIVE,25,25,25,25,23,17,17,6,2,22,17,18,7,95.65217391304348,100.0,73.91304347826087,26.08695652173913,72.0,25,0,68.11541541541541,35.86666666666666
no_recovery_admission,cracker_box_reorient,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,95.08241574908241,3.666666666666667
no_recovery_admission,cracker_box_yalehand0,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,95.21588254921588,0.6666666666666666
no_recovery_admission,sugar_box1,5,5,5,5,3,3,3,0,2,2,2,4,1,66.66666666666667,66.66666666666667,100.0,0.0,80.0,5,0,78.18301634968303,26.0
no_recovery_admission,sugar_box_yalehand0,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,94.19152485819151,7.0
no_recovery_admission,tomato_soup_can_yalehand0,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,96.74474474474475,0.0
no_recovery_admission,ALL_EVENTS_DESCRIPTIVE,25,25,25,25,23,23,23,0,2,22,22,24,1,95.65217391304348,95.65217391304348,100.0,0.0,96.0,25,0,91.88351685018351,7.466666666666668
no_rollout,cracker_box_reorient,5,5,5,5,5,5,5,0,0,5,5,3,2,100.0,100.0,100.0,0.0,60.0,5,0,87.14564564564564,38.333333333333336
no_rollout,cracker_box_yalehand0,5,5,5,5,5,4,4,1,0,5,4,3,2,100.0,100.0,80.0,20.0,60.0,5,0,68.48365031698364,43.33333333333333
no_rollout,sugar_box1,5,5,5,5,3,2,2,1,2,2,2,4,1,66.66666666666667,100.0,66.66666666666667,33.333333333333336,80.0,5,0,78.51518184851518,26.333333333333332
no_rollout,sugar_box_yalehand0,5,5,5,5,5,5,5,0,0,5,5,5,0,100.0,100.0,100.0,0.0,100.0,5,0,93.74574574574574,13.0
no_rollout,tomato_soup_can_yalehand0,5,5,5,5,5,1,1,4,0,5,1,5,0,100.0,100.0,20.0,80.0,100.0,5,0,95.18585251918586,4.0
no_rollout,ALL_EVENTS_DESCRIPTIVE,25,25,25,25,23,17,17,6,2,22,17,20,5,95.65217391304348,100.0,73.91304347826087,26.08695652173913,80.0,25,0,84.61521521521522,24.999999999999996
