episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
cracker_box_reorient_black10,1579908945563078571,0.44577108715558017,0.44577108715558017,0.36529160529738286,0.36529160529738286,0.013125097452094494,0.013125097452094494,0.0,0.0,0.0,0.0,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.5,0,0,0,False,0,0,0.44577108715558017,0,0,precomputed,0,0.0,2.569921314716339,0,1,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,11.199970729649067,4.827830940485001,18.597722984850407,0.44577108715558017,0.445771087155578,0.44577108715558017,0.4457710871555757,0.445771087155578,0.44577108715558017
cracker_box_reorient_black10,1579908945614400461,0.46336903188998174,0.46336903188998174,0.3828035960157008,0.3828035960157008,0.013754311431898326,0.013754311431898326,0.0,0.0,0.0,0.0,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.5,0,0,0,False,0,0,0.46336903188998174,0,0,precomputed,0,0.0,1.805332489311695,0,2,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,10.63624769449234,1.854325644671917,14.295905828475952,0.46336903188998174,0.46336903188997863,0.46336903188998174,0.4633690318899727,0.46336903188997863,0.46336903188998174
cracker_box_reorient_black10,1579908945677830271,0.48251014255133096,0.49766094208779194,0.38462967389843805,0.4199664162121424,0.013819923260416886,0.015089588863953939,0.0,0.0019588638589618022,0.01515079953646098,0.03533674231370437,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.4785733022885389,0,0,0,False,0,0,0.48251014255133096,0,0,precomputed,0,0.0,4.116960801184177,0,3,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,18.971232697367668,1.090148463845253,24.1783419623971,0.48251014255133096,0.4882604283961651,0.48251014255133096,0.4825101538299223,0.48792485644729183,0.48251014255133096
cracker_box_reorient_black10,1579908945726924100,0.48958112555204286,0.5119856710551305,0.38395305673366226,0.3786035445373518,0.013795612090664674,0.013603401626806401,0.0,0.0,0.022404545503087625,-0.005349512196310469,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.5034179714206115,0,0,0,False,0,0,0.48958112555204286,0,0,precomputed,0,0.0,3.3740652725100517,0,4,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,16.884345561265945,1.0510366410017014,21.3094474747777,0.48958112555204286,0.501875410006761,0.48958112555204286,0.4895811460452064,0.5017230643277732,0.48958112555204286
cracker_box_reorient_black10,1579908945787589599,0.4578914624310909,0.5145571375345986,0.3757999089287818,0.3838719141102148,0.013502665694063885,0.013792696598425538,0.0,0.0,0.05666567510350773,0.008072005181433028,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.4948234597282417,0,0,0,False,0,0,0.4578914624310909,0,0,precomputed,0,0.0,3.713768906891346,0,5,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,17.0418880879879,1.2266971170902252,21.98235411196947,0.4578914624310909,0.4873791884728518,0.4578914624310909,0.45789150467408996,0.48701317821211465,0.4578914624310909
cracker_box_reorient_black10,1579908945852409410,0.4726759821350973,0.4720855353433969,0.3635143056236399,0.383902698817364,0.013061238247335431,0.013793802707286262,0.0,0.0,-0.0005904467917003942,0.020388393193724097,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.4867162226822331,0,0,0,False,0,0,0.4720855353433969,0,0,precomputed,0,0.0,3.7901075556874275,0,6,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,16.580074094235897,0.8685439825057983,21.238725632429123,0.4726759821350973,0.4722329703514272,0.4726759821350973,0.47267604363425764,0.47195262953183875,0.42585624327376814
cracker_box_reorient_black10,1579908945914006044,0.475534324276598,0.45678223436236953,0.3719148499490664,0.35454966657907644,0.013363073716103189,0.012739134592675866,0.0,0.0,-0.018752089914228443,-0.017365183369989934,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.5116316201142129,0,0,0,False,0,0,0.45678223436236953,0,0,precomputed,0,0.0,2.7500921860337257,0,7,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,14.968384988605976,1.3212822377681732,19.039759412407875,0.475534324276598,0.4660875928030852,0.475534324276598,0.4755343691099216,0.46578818599907046,0.41776707498852794
cracker_box_reorient_black10,1579908945968735449,0.46915156475018926,0.46199976469876475,0.35498440895865213,0.35379813024121126,0.012754755088782916,0.01271213154215342,0.0,0.0,-0.007151800051424517,-0.0011862787174408695,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.5008138770165537,0,0,0,False,0,0,0.46199976469876475,0,0,precomputed,0,0.0,3.4498292952775955,0,8,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,17.163659445941448,1.0102707892656326,21.623759530484676,0.46915156475018926,0.4646936681355884,0.46915156475018926,0.4691516008921159,0.46448760693622687,0.4408324540394302
cracker_box_reorient_black10,1579908946026782164,0.4651814314036329,0.46395723685392976,0.37530900402537926,0.35312353196444746,0.013485027252327388,0.012687892911987441,0.0,0.0,-0.0012241945497031281,-0.0221854720609318,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.5148212904931978,0,0,0,False,0,0,0.46395723685392976,0,0,precomputed,0,0.0,2.9847566038370132,0,9,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,16.484374180436134,1.0565295815467834,20.52566036581993,0.4651814314036329,0.46407641405466943,0.4651814314036329,0.4651814756861706,0.4640148270719513,0.4651814314036329
cracker_box_reorient_black10,1579908946086315851,0.4487991311286455,0.463912865178905,0.3657031246908722,0.37523991469335216,0.013139883535499221,0.013482544840460797,0.0,0.0,0.015113734050259509,0.009536790002479978,MODE_4_TRUSTED_FUSION,no_recovery_admission,four_mode_relocalization_v2,0.49373357169401444,0,0,0,False,0,0,0.4487991311286455,0,0,precomputed,0,0.0,3.1889574602246284,0,10,cache_read_only_not_online_fps,d59acecc49c9e90a3de4d7748d98c2ff63a31cc13e77f4fb5d7e409a5d3f066d,cached_perception_v2,0,0,0,,,0,0.0,0,16.33901707828045,0.9489748626947403,20.476949401199818,0.4487991311286455,0.4559267152648135,0.4487991311286455,0.4487991776375896,0.4558294968766798,0.4487991311286455
