episode,frame_id,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,observer_restart,motion_history_reset,error_b5_ours_cm,output_uncertain,output_quality_unverified
cracker_box_reorient_drop60,1579908945614400461,1,1,1,0.3787680313525841,,1,30330.37947304547,1,0,0.3787680313525841,False,1
cracker_box_reorient_drop60,1579908945677830271,1,1,1,0.4323502439656375,,1,2453.013218007982,1,0,0.4323502439656375,False,1
cracker_box_reorient_drop60,1579908945852409410,1,1,1,0.38208227221829544,,1,2439.382870681584,1,0,0.38208227221829544,False,1
cracker_box_reorient_drop60,1579908946140737016,1,1,1,0.40847757666650625,,1,2448.3280358836055,1,0,0.40847757666650625,False,1
cracker_box_reorient_drop60,1579908946254676807,1,1,1,0.40722651375660507,,1,2431.934772990644,1,0,0.40722651375660507,False,1
cracker_box_reorient_drop60,1579908946599257639,1,1,1,0.4000902166643311,,1,2437.092117033899,1,0,0.4000902166643311,False,1
cracker_box_reorient_drop60,1579908946849212957,1,1,1,0.3991529858087303,,1,2453.92526127398,1,0,0.3991529858087303,False,1
cracker_box_reorient_drop60,1579908946910881610,1,1,1,0.40264477373999846,,1,2451.0985873639584,1,0,0.40264477373999846,False,1
cracker_box_reorient_drop60,1579908947077160225,1,1,1,0.4029560693606851,,1,2456.9759564474225,1,0,0.4029560693606851,False,1
cracker_box_reorient_drop60,1579908947132777829,1,1,1,0.40635735616088964,,1,2460.3526443243027,1,0,0.40635735616088964,False,1
cracker_box_reorient_drop60,1579908947498339267,1,1,1,0.3895485876884626,,1,2454.3239641934633,1,0,0.3895485876884626,False,1
cracker_box_reorient_drop60,1579908947671084114,1,1,1,0.38529638478777023,,1,2463.297810405493,1,0,0.38529638478777023,False,1
cracker_box_reorient_drop60,1579908947725158295,1,1,1,0.38574954625555746,,1,2463.7050768360496,1,0,0.38574954625555746,False,1
cracker_box_reorient_drop60,1579908948608940307,1,1,1,0.41431805946993666,,1,2465.582575649023,1,0,0.41431805946993666,False,1
cracker_box_reorient_drop60,1579908948737225307,1,1,1,0.3990015348837765,,1,2470.9163838997483,1,0,0.3990015348837765,False,1
cracker_box_reorient_drop60,1579908948789212583,1,1,1,0.42205593283326964,,1,2466.1812745034695,1,0,0.42205593283326964,False,1
cracker_box_reorient_drop60,1579908948841456148,1,1,1,0.4162476777073475,,1,2460.8841966837645,1,0,0.4162476777073475,False,1
cracker_box_reorient_drop60,1579908949118504938,1,1,1,0.441574168016334,,1,2463.503582403064,1,0,0.441574168016334,False,1
cracker_box_reorient_drop60,1579908949235091400,1,1,1,0.44106482804542185,,1,2460.9483405947685,1,0,0.44106482804542185,False,1
cracker_box_reorient_drop60,1579908949291483191,1,1,1,0.4488649416343002,,1,2463.0463467910886,1,0,0.4488649416343002,False,1
cracker_box_reorient_drop60,1579908949581327643,1,1,1,0.38840425836320325,,1,2462.3213531449437,1,0,0.38840425836320325,False,1
cracker_box_reorient_drop60,1579908949648651950,1,1,1,0.4346398297261587,,1,2453.867031261325,1,0,0.4346398297261587,False,1
cracker_box_reorient_drop60,1579908949834467086,1,1,1,0.3850271498125778,,1,2469.991836696863,1,0,0.3850271498125778,False,1
cracker_box_reorient_drop60,1579908949890699235,1,1,1,0.3988182136851199,,1,2465.5635822564363,1,0,0.3988182136851199,False,1
cracker_box_reorient_drop60,1579908950020222420,1,1,1,0.4266259801985607,,1,2467.007583938539,1,0,0.4266259801985607,False,1
cracker_box_reorient_drop60,1579908950198399820,1,1,1,0.3885272027374327,,1,2466.1513110622764,1,0,0.3885272027374327,False,1
cracker_box_reorient_drop60,1579908950393674439,1,1,1,0.4045114171424581,,1,2472.8457760065794,1,0,0.4045114171424581,False,1
cracker_box_reorient_drop60,1579908950498704486,1,1,1,0.3972467174318888,,1,2472.6426750421524,1,0,0.3972467174318888,False,1
cracker_box_reorient_drop60,1579908950630169777,1,1,1,0.41635106366544267,,1,2484.760830178857,1,0,0.41635106366544267,False,1
cracker_box_reorient_drop60,1579908950688480052,1,1,1,0.4217498352011107,,1,2466.228973120451,1,0,0.4217498352011107,False,1
cracker_box_reorient_drop60,1579908950928838522,1,1,1,0.44055459113073103,,1,2465.905071236193,1,0,0.44055459113073103,False,1
cracker_box_reorient_drop60,1579908951041892990,1,1,1,0.3999829107297667,,1,2467.6880659535527,1,0,0.3999829107297667,False,1
cracker_box_reorient_drop60,1579908951150044461,1,1,1,0.43826663604779864,,1,2463.2479157298803,1,0,0.43826663604779864,False,1
cracker_box_reorient_drop60,1579908951323307442,1,1,1,0.4017307959384744,,1,2460.7249004766345,1,0,0.4017307959384744,False,1
cracker_box_reorient_drop60,1579908951385852578,1,1,1,0.4091099991440795,,1,2463.5188756510615,1,0,0.4091099991440795,False,1
cracker_box_reorient_drop60,1579908951563255287,1,1,1,0.43001813885143725,,1,2475.379160605371,1,0,0.43001813885143725,False,1
cracker_box_reorient_drop60,1579908951817803778,1,1,1,0.4131983095490139,,1,2470.230090431869,1,0,0.4131983095490139,False,1
cracker_box_reorient_drop60,1579908951957428922,1,1,1,0.39572715170543793,,1,2465.679812245071,1,0,0.39572715170543793,False,1
cracker_box_reorient_drop60,1579908952088336912,1,1,1,0.41631494413098996,,1,2459.5620343461633,1,0,0.41631494413098996,False,1
cracker_box_reorient_drop60,1579908952206375716,1,1,1,0.3852466757609299,,1,2460.3517847135663,1,0,0.3852466757609299,False,1
cracker_box_reorient_drop60,1579908952376196899,1,1,1,0.42792449129138677,,1,2454.6928694471717,1,0,0.42792449129138677,False,1
cracker_box_reorient_drop60,1579908952550928820,1,1,1,0.4116567854121701,,1,2459.2954283580184,1,0,0.4116567854121701,False,1
cracker_box_reorient_drop60,1579908952613547052,1,1,1,0.4183258165586008,,1,2458.8105622678995,1,0,0.4183258165586008,False,1
cracker_box_reorient_drop60,1579908952727577548,1,1,1,0.4132156692449255,,1,2455.08218370378,1,0,0.4132156692449255,False,1
cracker_box_reorient_drop60,1579908952913970444,1,1,1,0.42924540981383746,,1,2590.2233691886067,1,0,0.42924540981383746,False,1
cracker_box_reorient_drop60,1579908953196393671,1,1,1,0.41152575086208837,,1,2453.2796274870634,1,0,0.41152575086208837,False,1
cracker_box_reorient_drop60,1579908953269128653,1,1,1,0.4106076216301706,,1,2464.6558091044426,1,0,0.4106076216301706,False,1
cracker_box_reorient_drop60,1579908953511193226,1,1,1,0.4141567348268479,,1,2470.2008618041873,1,0,0.4141567348268479,False,1
cracker_box_reorient_drop60,1579908953568225385,1,1,1,0.3937071396116657,,1,2465.916268527508,1,0,0.3937071396116657,False,1
cracker_box_reorient_drop60,1579908953734082308,1,1,1,0.40907127949782474,,1,2467.97333098948,1,0,0.40907127949782474,False,1
cracker_box_reorient_drop60,1579908953841231374,1,1,1,0.41620824419166624,,1,2468.406273983419,1,0,0.41620824419166624,False,1
cracker_box_reorient_drop60,1579908953948811807,1,1,1,0.375513056715344,,1,2470.021237619221,1,0,0.375513056715344,False,1
cracker_box_reorient_drop60,1579908954005701274,1,1,1,0.3754762576352823,,1,2468.171556480229,1,0,0.3754762576352823,False,1
cracker_box_reorient_drop60,1579908954204603061,1,1,1,0.411194985045424,,1,2469.524714164436,1,0,0.411194985045424,False,1
cracker_box_reorient_drop60,1579908954260042162,1,1,1,0.3983113050402858,,1,2468.760685995221,1,0,0.3983113050402858,False,1
cracker_box_reorient_drop60,1579908954427849074,1,1,1,0.42046740932630466,,1,2473.4711097553372,1,0,0.42046740932630466,False,1
cracker_box_reorient_drop60,1579908954542073826,1,1,1,0.4099515885632358,,1,2469.7226313874125,1,0,0.4099515885632358,False,1
cracker_box_reorient_drop60,1579908954655415171,1,1,1,0.37606995448712166,,1,2474.666112102568,1,0,0.37606995448712166,False,1
cracker_box_reorient_drop60,1579908954765630420,1,1,1,0.41536917136691603,,1,2471.3071659207344,1,0,0.41536917136691603,False,1
cracker_box_reorient_drop60,1579908954944449527,1,1,1,0.37278712466874286,,1,2471.621093340218,1,0,0.37278712466874286,False,1
cracker_box_reorient_drop60,1579908954997836462,1,1,1,0.4143551812429004,,1,2475.32906383276,1,0,0.4143551812429004,False,1
cracker_box_reorient_drop60,1579908955303050854,1,1,1,0.4088892340760489,,1,2476.8803771585226,1,0,0.4088892340760489,False,1
cracker_box_reorient_drop60,1579908955361594558,1,1,1,0.4273350894785647,,1,2471.4249623939395,1,0,0.4273350894785647,False,1
cracker_box_reorient_drop60,1579908955420513383,1,1,1,0.4022981388364503,,1,2477.7424708008766,1,0,0.4022981388364503,False,1
cracker_box_reorient_drop60,1579908955606134962,1,1,1,0.42881605329103867,,1,2486.2046940252185,1,0,0.42881605329103867,False,1
cracker_box_reorient_drop60,1579908955671821502,1,1,1,0.43348394024408976,,1,2489.8318042978644,1,0,0.43348394024408976,False,1
cracker_box_reorient_drop60,1579908955797891982,1,1,1,0.4072968341977623,,1,2473.139489069581,1,0,0.4072968341977623,False,1
cracker_box_reorient_drop60,1579908956035285607,1,1,1,0.4300134742565486,,1,2472.0204528421164,1,0,0.4300134742565486,False,1
cracker_box_reorient_drop60,1579908956170495108,1,1,1,0.41184658393448065,,1,2469.134060665965,1,0,0.41184658393448065,False,1
cracker_box_reorient_drop60,1579908956293170522,1,1,1,0.4116051305091417,,1,2467.84714050591,1,0,0.4116051305091417,False,1
cracker_box_reorient_drop60,1579908956343005426,1,1,1,0.46768419482511653,,1,2473.030469380319,1,0,0.46768419482511653,False,1
cracker_box_reorient_drop60,1579908956403211147,1,1,1,0.37492559251375657,,1,2466.816176660359,1,0,0.37492559251375657,False,1
cracker_box_reorient_drop60,1579908956455937057,1,1,1,0.5228892978132547,,1,2460.048258304596,1,0,0.5228892978132547,False,1
cracker_box_reorient_drop60,1579908956518874198,1,1,1,0.4666341365557473,,1,2458.6253222078085,1,0,0.4666341365557473,False,1
cracker_box_reorient_drop60,1579908956578476446,1,1,1,0.39997203569173584,,1,2457.869921810925,1,0,0.39997203569173584,False,1
cracker_box_reorient_drop60,1579908956638901151,1,1,1,0.4720620573428134,,1,2456.3200501725078,1,0,0.4720620573428134,False,1
cracker_box_reorient_drop60,1579908956858690945,1,1,1,0.4096319079970429,,1,2466.566045768559,1,0,0.4096319079970429,False,1
cracker_box_reorient_drop60,1579908956916864330,1,1,1,0.5727377655278328,,1,2466.188886202872,1,0,0.5727377655278328,False,1
cracker_box_reorient_drop60,1579908957046198138,1,1,1,0.5666352554689303,,1,2473.0739314109087,1,0,0.5666352554689303,False,1
cracker_box_reorient_drop60,1579908957104674636,1,1,1,0.4879188123126098,,1,2460.8579762279987,1,0,0.4879188123126098,False,1
cracker_box_reorient_drop60,1579908957221971420,1,1,1,0.5014658962043688,,1,2469.454128295183,1,0,0.5014658962043688,False,1
cracker_box_reorient_drop60,1579908957413047379,1,1,1,0.3398903521802246,,1,2473.8615648820996,1,0,0.3398903521802246,False,1
cracker_box_reorient_drop60,1579908957466388223,1,1,1,0.5115270002480526,,1,2473.8765079528093,1,0,0.5115270002480526,False,1
cracker_box_reorient_drop60,1579908957838500050,1,1,1,0.267640622006998,,1,2483.1348825246096,1,0,0.267640622006998,False,1
cracker_box_reorient_drop60,1579908957952716266,1,1,1,0.43027121956956343,,1,2480.8661388233304,1,0,0.43027121956956343,False,1
cracker_box_reorient_drop60,1579908958063252809,1,1,1,0.46497613571948393,,1,2492.3859843984246,1,0,0.46497613571948393,False,1
cracker_box_reorient_drop60,1579908958119541121,1,1,1,0.6434442318263587,,1,2474.912650883198,1,0,0.6434442318263587,False,1
cracker_box_reorient_drop60,1579908958181362729,1,1,1,0.6604269807395303,,1,2479.2186403647065,1,0,0.6604269807395303,False,1
cracker_box_reorient_drop60,1579908958260026998,1,1,1,0.5082505833302753,,1,2474.285278469324,1,0,0.5082505833302753,False,1
cracker_box_reorient_drop60,1579908958346379960,1,1,1,0.5820679017276665,,1,2473.147184588015,1,0,0.5820679017276665,False,1
cracker_box_reorient_drop60,1579908958418981806,1,1,1,0.46874126906642455,,1,2479.722961783409,1,0,0.46874126906642455,False,1
cracker_box_reorient_drop60,1579908958538727496,1,1,1,0.7252903560473154,,1,2481.7735413089395,1,0,0.7252903560473154,False,1
cracker_box_reorient_drop60,1579908958601117001,1,1,1,0.5399745503683808,,1,2474.2730911821127,1,0,0.5399745503683808,False,1
cracker_box_reorient_drop60,1579908958664580249,1,1,1,0.6266860530494793,,1,2473.835472948849,1,0,0.6266860530494793,False,1
cracker_box_reorient_drop60,1579908958731844702,1,1,1,0.5591069595419597,,1,2477.513125166297,1,0,0.5591069595419597,False,1
cracker_box_reorient_drop60,1579908958949208324,1,1,1,0.4868134990283478,,1,2472.8960376232862,1,0,0.4868134990283478,False,1
cracker_box_reorient_drop60,1579908959054833420,1,1,1,0.5742325953139765,,1,2480.5673081427813,1,0,0.5742325953139765,False,1
cracker_box_reorient_drop60,1579908959107188720,1,1,1,0.5183902616037867,,1,2477.0472208037972,1,0,0.5183902616037867,False,1
cracker_box_reorient_drop60,1579908959158743140,1,1,1,0.3972271204436965,,1,2486.3315653055906,1,0,0.3972271204436965,False,1
cracker_box_reorient_drop60,1579908959265006115,1,1,1,0.4132367204181064,,1,2478.9107087999582,1,0,0.4132367204181064,False,1
cracker_box_reorient_drop60,1579908959319731401,1,1,1,0.45924649928927674,,1,2473.5024869441986,1,0,0.45924649928927674,False,1
cracker_box_reorient_drop60,1579908959478865009,1,1,1,0.453411477342702,,1,2479.3866416439414,1,0,0.453411477342702,False,1
cracker_box_reorient_drop60,1579908959642183773,1,1,1,0.6508130883863823,,1,2472.5104654207826,1,0,0.6508130883863823,False,1
cracker_box_reorient_drop60,1579908959698006397,1,1,1,0.4504541765543458,,1,2474.1691015660763,1,0,0.4504541765543458,False,1
cracker_box_reorient_drop60,1579908959831758100,1,1,1,0.4272720154644246,,1,2465.29361885041,1,0,0.4272720154644246,False,1
cracker_box_reorient_drop60,1579908959948545187,1,1,1,0.24088928999012843,,1,2475.8052928373218,1,0,0.24088928999012843,False,1
cracker_box_reorient_drop60,1579908960001021013,1,1,1,0.38002285913835154,,1,2449.0991048514843,1,0,0.38002285913835154,False,1
cracker_box_reorient_drop60,1579908960049671718,1,1,1,0.2816388518046826,,1,2459.5250310376287,1,0,0.2816388518046826,False,1
cracker_box_reorient_drop60,1579908960209563734,1,1,1,0.3858688758722385,,1,2461.5903850644827,1,0,0.3858688758722385,False,1
cracker_box_reorient_drop60,1579908960268069364,1,1,1,0.27068747851318736,,1,2451.701248064637,1,0,0.27068747851318736,False,1
cracker_box_reorient_drop60,1579908960437318666,1,1,1,0.5443420110326102,,1,2479.4987328350544,1,0,0.5443420110326102,False,1
cracker_box_reorient_drop60,1579908960495816059,1,1,1,0.51023276163048,,1,2471.930448897183,1,0,0.51023276163048,False,1
cracker_box_reorient_drop60,1579908960613777848,1,1,1,0.29241938045729055,,1,2466.460905969143,1,0,0.29241938045729055,False,1
cracker_box_reorient_drop60,1579908960669751301,1,1,1,0.31225603383890976,,1,2471.2573206052184,1,0,0.31225603383890976,False,1
cracker_box_reorient_drop60,1579908960784590836,1,1,1,0.3327584501775812,,1,2471.152954734862,1,0,0.3327584501775812,False,1
cracker_box_reorient_drop60,1579908960835701234,1,1,1,0.4367661307969888,,1,2467.909097671509,1,0,0.4367661307969888,False,1
cracker_box_reorient_drop60,1579908960902507280,1,1,1,0.5004291792107854,,1,2452.9500529170036,1,0,0.5004291792107854,False,1
cracker_box_reorient_drop60,1579908961188900922,1,1,1,0.2279270925016683,,1,2473.0697628110647,1,0,0.2279270925016683,False,1
cracker_box_reorient_drop60,1579908961363642252,1,1,1,0.21481037221827726,,1,2465.6549589708447,1,0,0.21481037221827726,False,1
cracker_box_reorient_drop60,1579908961419657940,1,1,1,0.3228511041904595,,1,2465.3691612184048,1,0,0.3228511041904595,False,1
cracker_box_reorient_drop60,1579908961475016673,1,1,1,0.25362863612970804,,1,2462.195170111954,1,0,0.25362863612970804,False,1
cracker_box_reorient_drop60,1579908961649409047,1,1,1,0.2755511847068838,,1,2459.5626145601273,1,0,0.2755511847068838,False,1
cracker_box_reorient_drop60,1579908961714047802,1,1,1,0.2076140853166318,,1,2456.6372353583574,1,0,0.2076140853166318,False,1
cracker_box_reorient_drop60,1579908961837904119,1,1,1,0.22704374723114218,,1,2463.487888686359,1,0,0.22704374723114218,False,1
cracker_box_reorient_drop60,1579908962272651551,1,1,1,0.2683067923582544,,1,2463.8977786526084,1,0,0.2683067923582544,False,1
cracker_box_reorient_drop60,1579908962333477288,1,1,1,0.33638101824788036,,1,2488.8957496732473,1,0,0.33638101824788036,False,1
cracker_box_reorient_drop60,1579908962399302411,1,1,1,0.23825247932959642,,1,2471.9813680276275,1,0,0.23825247932959642,False,1
cracker_box_reorient_drop60,1579908962594646378,1,1,1,0.21949385587782083,,1,2473.006449639797,1,0,0.21949385587782083,False,1
cracker_box_reorient_drop60,1579908962654674803,1,1,1,0.24045752089405922,,1,2469.6814315393567,1,0,0.24045752089405922,False,1
cracker_box_reorient_drop60,1579908962939628704,1,1,1,0.2857992744099407,,1,2475.701251067221,1,0,0.2857992744099407,False,1
cracker_box_reorient_drop60,1579908963000667004,1,1,1,0.2083847765398784,,1,2456.876052543521,1,0,0.2083847765398784,False,1
cracker_box_reorient_drop60,1579908963054674192,1,1,1,0.25305669803123804,,1,2454.9814527854323,1,0,0.25305669803123804,False,1
cracker_box_reorient_drop60,1579908963705800615,1,1,1,0.2762566888312993,,1,2457.60559104383,1,0,0.2762566888312993,False,1
cracker_box_reorient_drop60,1579908963880120060,1,1,1,0.3027763932657756,,1,2449.0144504234195,1,0,0.3027763932657756,False,1
cracker_box_reorient_drop60,1579908963939619743,1,1,1,0.23987831587493902,,1,2450.314979068935,1,0,0.23987831587493902,False,1
cracker_box_reorient_drop60,1579908964056243125,1,1,1,0.2492224595358584,,1,2456.094477325678,1,0,0.2492224595358584,False,1
cracker_box_reorient_drop60,1579908964461369531,1,1,1,0.23285273569835402,,1,2461.6191210225224,1,0,0.23285273569835402,False,1
cracker_box_reorient_drop60,1579908964517340915,1,1,1,0.26059034249733015,,1,2454.8159949481487,1,0,0.26059034249733015,False,1
cracker_box_reorient_drop60,1579908964748693308,1,1,1,0.2893010419190825,,1,2475.959266535938,1,0,0.2893010419190825,False,1
cracker_box_reorient_drop60,1579908964806245509,1,1,1,0.27246907661982833,,1,2468.1800240650773,1,0,0.27246907661982833,False,1
cracker_box_reorient_drop60,1579908965193464727,1,1,1,0.24613130310766979,,1,2462.946214713156,1,0,0.24613130310766979,False,1
cracker_box_reorient_drop60,1579908965257458538,1,1,1,0.23954106220835672,,1,2462.304293178022,1,0,0.23954106220835672,False,1
cracker_box_reorient_drop60,1579908965565431486,1,1,1,0.2557778326059116,,1,2471.1407823488116,1,0,0.2557778326059116,False,1
cracker_box_reorient_drop60,1579908965748638396,1,1,1,0.2750910098025192,,1,2482.8991517424583,1,0,0.2750910098025192,False,1
cracker_box_reorient_drop60,1579908965804096241,1,1,1,0.2637664406516954,,1,2467.5446385517716,1,0,0.2637664406516954,False,1
cracker_box_reorient_drop60,1579908965920803205,1,1,1,0.2359163597378877,,1,2475.940654054284,1,0,0.2359163597378877,False,1
cracker_box_reorient_drop60,1579908966248728426,1,1,1,0.265705479605747,,1,2475.2656556665897,1,0,0.265705479605747,False,1
cracker_box_reorient_drop60,1579908966313576787,1,1,1,0.22870451593483845,,1,2480.442593805492,1,0,0.22870451593483845,False,1
