episode,frame_id,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,observer_restart,motion_history_reset,error_b5_ours_cm,output_uncertain,output_quality_unverified
cracker_box_yalehand0_drop60,0,1,1,1,0.5215589250036428,,1,27071.739544160664,1,0,0.5215589250036428,False,1
cracker_box_yalehand0_drop60,1,1,1,1,0.49905379621487833,,1,2473.1401540338993,1,0,0.49905379621487833,False,1
cracker_box_yalehand0_drop60,2,1,1,1,0.5108407726771178,,1,2442.6741553470492,1,0,0.5108407726771178,False,1
cracker_box_yalehand0_drop60,3,1,1,1,0.49221131041777444,,1,2422.810778953135,1,0,0.49221131041777444,False,1
cracker_box_yalehand0_drop60,4,1,1,1,0.5584063623372567,,1,2445.212597027421,1,0,0.5584063623372567,False,1
cracker_box_yalehand0_drop60,5,1,1,1,0.5428482994537318,,1,2441.821251064539,1,0,0.5428482994537318,False,1
cracker_box_yalehand0_drop60,6,1,1,1,0.5409790274902021,,1,2437.2805105522275,1,0,0.5409790274902021,False,1
cracker_box_yalehand0_drop60,7,1,1,1,0.49426806403681445,,1,2435.594167560339,1,0,0.49426806403681445,False,1
cracker_box_yalehand0_drop60,8,1,1,1,0.4970522765982256,,1,2444.1726552322507,1,0,0.4970522765982256,False,1
cracker_box_yalehand0_drop60,9,1,1,1,0.49001284772981385,,1,2445.4489639028907,1,0,0.49001284772981385,False,1
cracker_box_yalehand0_drop60,10,1,1,1,0.444382618488422,,1,2448.91650788486,1,0,0.444382618488422,False,1
cracker_box_yalehand0_drop60,11,1,1,1,0.4756164297778903,,1,2440.4862774536014,1,0,0.4756164297778903,False,1
cracker_box_yalehand0_drop60,12,1,1,1,0.4810727315526988,,1,2442.6156291738153,1,0,0.4810727315526988,False,1
cracker_box_yalehand0_drop60,13,1,1,1,0.5091687662547693,,1,2442.8097950294614,1,0,0.5091687662547693,False,1
cracker_box_yalehand0_drop60,14,1,1,1,0.43239709037605045,,1,2444.0195439383388,1,0,0.43239709037605045,False,1
cracker_box_yalehand0_drop60,15,1,1,1,0.5244752308507257,,1,2442.1221017837524,1,0,0.5244752308507257,False,1
cracker_box_yalehand0_drop60,16,1,1,1,0.4854828726915137,,1,2444.952887482941,1,0,0.4854828726915137,False,1
cracker_box_yalehand0_drop60,17,1,1,1,0.4325658484333485,,1,2452.3015040904284,1,0,0.4325658484333485,False,1
cracker_box_yalehand0_drop60,18,1,1,1,0.44012595636305063,,1,2444.341261871159,1,0,0.44012595636305063,False,1
cracker_box_yalehand0_drop60,19,1,1,1,0.5040332075400894,,1,2446.0406750440598,1,0,0.5040332075400894,False,1
cracker_box_yalehand0_drop60,20,1,1,1,0.556593228783023,,1,2442.7737379446626,1,0,0.556593228783023,False,1
cracker_box_yalehand0_drop60,21,1,1,1,0.4008667307264436,,1,2441.255569458008,1,0,0.4008667307264436,False,1
cracker_box_yalehand0_drop60,22,1,1,1,0.5104702859356528,,1,2441.8543921783566,1,0,0.5104702859356528,False,1
cracker_box_yalehand0_drop60,23,1,1,1,0.3531975884921687,,1,2443.2148709893227,1,0,0.3531975884921687,False,1
cracker_box_yalehand0_drop60,24,1,1,1,0.3731464755543039,,1,2453.3559223636985,1,0,0.3731464755543039,False,1
cracker_box_yalehand0_drop60,25,1,1,1,0.4031408577166774,,1,2472.7460546419024,1,0,0.4031408577166774,False,1
cracker_box_yalehand0_drop60,26,1,1,1,0.38738230354207825,,1,2465.3529040515423,1,0,0.38738230354207825,False,1
cracker_box_yalehand0_drop60,27,1,1,1,0.44298213449145807,,1,2470.08793707937,1,0,0.44298213449145807,False,1
cracker_box_yalehand0_drop60,28,1,1,1,0.3827827132241613,,1,2451.7843080684543,1,0,0.3827827132241613,False,1
cracker_box_yalehand0_drop60,29,1,1,1,0.42548041634579686,,1,2444.6636913344264,1,0,0.42548041634579686,False,1
cracker_box_yalehand0_drop60,30,1,1,1,0.4464527545412518,,1,2441.738199442625,1,0,0.4464527545412518,False,1
cracker_box_yalehand0_drop60,31,1,1,1,0.5435514761762615,,1,2445.4291984438896,1,0,0.5435514761762615,False,1
cracker_box_yalehand0_drop60,32,1,1,1,0.4601031009145067,,1,2452.021795324981,1,0,0.4601031009145067,False,1
cracker_box_yalehand0_drop60,33,1,1,1,0.44532243032059,,1,2448.2900639995933,1,0,0.44532243032059,False,1
cracker_box_yalehand0_drop60,34,1,1,1,0.38393590573220604,,1,2452.4692222476006,1,0,0.38393590573220604,False,1
cracker_box_yalehand0_drop60,35,1,1,1,0.43885238258069914,,1,2447.4105266854167,1,0,0.43885238258069914,False,1
cracker_box_yalehand0_drop60,36,1,1,1,0.524493677191139,,1,2443.440697155893,1,0,0.524493677191139,False,1
cracker_box_yalehand0_drop60,37,1,1,1,0.4981968631707643,,1,2458.5861144587398,1,0,0.4981968631707643,False,1
cracker_box_yalehand0_drop60,38,1,1,1,0.4371415618228459,,1,2439.555107615888,1,0,0.4371415618228459,False,1
cracker_box_yalehand0_drop60,39,1,1,1,0.4385322224533088,,1,2440.77701959759,1,0,0.4385322224533088,False,1
cracker_box_yalehand0_drop60,40,1,1,1,0.4207516944907761,,1,2448.723283596337,1,0,0.4207516944907761,False,1
cracker_box_yalehand0_drop60,41,1,1,1,0.34858681544962145,,1,2464.785664342344,1,0,0.34858681544962145,False,1
cracker_box_yalehand0_drop60,42,1,1,1,0.35581080080136307,,1,2473.212342709303,1,0,0.35581080080136307,False,1
cracker_box_yalehand0_drop60,43,1,1,1,0.40010972062020134,,1,2472.7225583046675,1,0,0.40010972062020134,False,1
cracker_box_yalehand0_drop60,44,1,1,1,0.39690398475809063,,1,2468.950522132218,1,0,0.39690398475809063,False,1
cracker_box_yalehand0_drop60,45,1,1,1,0.503091727740583,,1,2466.9794850051403,1,0,0.503091727740583,False,1
cracker_box_yalehand0_drop60,46,1,1,1,0.395725025589285,,1,2458.9510299265385,1,0,0.395725025589285,False,1
cracker_box_yalehand0_drop60,47,1,1,1,0.43118070780362006,,1,2459.58942361176,1,0,0.43118070780362006,False,1
cracker_box_yalehand0_drop60,48,1,1,1,0.43219472289803934,,1,2434.5558593049645,1,0,0.43219472289803934,False,1
cracker_box_yalehand0_drop60,49,1,1,1,0.33639670391621,,1,2429.87325694412,1,0,0.33639670391621,False,1
cracker_box_yalehand0_drop60,50,1,1,1,0.41450852350038336,,1,2451.5994116663933,1,0,0.41450852350038336,False,1
cracker_box_yalehand0_drop60,51,1,1,1,0.3253720909368543,,1,2452.5482011958957,1,0,0.3253720909368543,False,1
cracker_box_yalehand0_drop60,52,1,1,1,0.31497053390114926,,1,2455.507076345384,1,0,0.31497053390114926,False,1
cracker_box_yalehand0_drop60,53,1,1,1,0.40282653556131504,,1,2463.80764991045,1,0,0.40282653556131504,False,1
cracker_box_yalehand0_drop60,54,1,1,1,0.3416032471217442,,1,2459.570424631238,1,0,0.3416032471217442,False,1
cracker_box_yalehand0_drop60,55,1,1,1,0.4107806005043904,,1,2461.9370456784964,1,0,0.4107806005043904,False,1
cracker_box_yalehand0_drop60,56,1,1,1,0.32834069070882166,,1,2437.340741045773,1,0,0.32834069070882166,False,1
cracker_box_yalehand0_drop60,57,1,1,1,0.42000250529892524,,1,2442.8499452769756,1,0,0.42000250529892524,False,1
cracker_box_yalehand0_drop60,58,1,1,1,0.34535378435207886,,1,2440.7626017928123,1,0,0.34535378435207886,False,1
cracker_box_yalehand0_drop60,59,1,1,1,0.31971402499644813,,1,2451.4158023521304,1,0,0.31971402499644813,False,1
cracker_box_yalehand0_drop60,60,1,1,1,0.3981624458344336,,1,2450.0707052648067,1,0,0.3981624458344336,False,1
cracker_box_yalehand0_drop60,61,1,1,1,0.3949279459048942,,1,2453.3080272376537,1,0,0.3949279459048942,False,1
cracker_box_yalehand0_drop60,62,1,1,1,0.3578592491814962,,1,2444.859835319221,1,0,0.3578592491814962,False,1
cracker_box_yalehand0_drop60,63,1,1,1,0.44953986848094935,,1,2454.311292618513,1,0,0.44953986848094935,False,1
cracker_box_yalehand0_drop60,64,1,1,1,0.3272157210671749,,1,2459.069508127868,1,0,0.3272157210671749,False,1
cracker_box_yalehand0_drop60,65,1,1,1,0.39121900123970066,,1,2469.627366401255,1,0,0.39121900123970066,False,1
cracker_box_yalehand0_drop60,66,1,1,1,0.3415125418307492,,1,2476.046819239855,1,0,0.3415125418307492,False,1
cracker_box_yalehand0_drop60,67,1,1,1,0.3488662132348145,,1,2462.7224802970886,1,0,0.3488662132348145,False,1
cracker_box_yalehand0_drop60,68,1,1,1,0.34970559966528314,,1,2460.751749575138,1,0,0.34970559966528314,False,1
cracker_box_yalehand0_drop60,69,1,1,1,0.35870204464047756,,1,2461.5340204909444,1,0,0.35870204464047756,False,1
cracker_box_yalehand0_drop60,70,1,1,1,0.35512505100102315,,1,2442.9714865982533,1,0,0.35512505100102315,False,1
cracker_box_yalehand0_drop60,71,1,1,1,0.377514310864743,,1,2450.4542108625174,1,0,0.377514310864743,False,1
cracker_box_yalehand0_drop60,72,1,1,1,0.38197359127676517,,1,2442.7456706762314,1,0,0.38197359127676517,False,1
cracker_box_yalehand0_drop60,73,1,1,1,0.3575924450306291,,1,2446.798716671765,1,0,0.3575924450306291,False,1
cracker_box_yalehand0_drop60,74,1,1,1,0.3586942575314086,,1,2445.1547348871827,1,0,0.3586942575314086,False,1
cracker_box_yalehand0_drop60,75,1,1,1,0.3697659993558236,,1,2448.085037060082,1,0,0.3697659993558236,False,1
cracker_box_yalehand0_drop60,76,1,1,1,0.35721118557520437,,1,2445.4211983829737,1,0,0.35721118557520437,False,1
cracker_box_yalehand0_drop60,77,1,1,1,0.4143221720970647,,1,2445.4292403534055,1,0,0.4143221720970647,False,1
cracker_box_yalehand0_drop60,78,1,1,1,0.37652003023425784,,1,2449.612030759454,1,0,0.37652003023425784,False,1
cracker_box_yalehand0_drop60,79,1,1,1,0.42629311404244075,,1,2447.8969601914287,1,0,0.42629311404244075,False,1
cracker_box_yalehand0_drop60,80,1,1,1,0.3072892334528479,,1,2442.2597624361515,1,0,0.3072892334528479,False,1
cracker_box_yalehand0_drop60,81,1,1,1,0.39188585216423033,,1,2448.4296767041087,1,0,0.39188585216423033,False,1
