Metric,Value,variant,base_sequence
Shared error MAE_obs_cm,4.154553523531648,no_rollout,cracker_box_reorient
Shared error MedianAE_obs_cm,0.9496884153668952,no_rollout,cracker_box_reorient
Shared error Spearman_obs,0.6393797528511601,no_rollout,cracker_box_reorient
AUROC_obs_abs_risk,0.8301075694004104,no_rollout,cracker_box_reorient
AUPRC_obs_abs_risk,0.87334718321657,no_rollout,cracker_box_reorient
Brier_obs_abs_risk,0.2111247790643014,no_rollout,cracker_box_reorient
ECE_obs_abs_risk,0.2186125826948341,no_rollout,cracker_box_reorient
Shared error MAE_prior_cm,104.82746320902648,no_rollout,cracker_box_reorient
Shared error MedianAE_prior_cm,1.1696661098251524,no_rollout,cracker_box_reorient
Shared error Spearman_prior,0.2280188136978075,no_rollout,cracker_box_reorient
AUROC_prior_abs_risk,0.6875105814846323,no_rollout,cracker_box_reorient
AUPRC_prior_abs_risk,0.7716942744748247,no_rollout,cracker_box_reorient
Brier_prior_abs_risk,0.3289463102212606,no_rollout,cracker_box_reorient
ECE_prior_abs_risk,0.3477455167717797,no_rollout,cracker_box_reorient
Pairwise_AUROC_prior_worse,0.6680476452999249,no_rollout,cracker_box_reorient
Pairwise_balanced_accuracy,0.6784444367021287,no_rollout,cracker_box_reorient
Pairwise_ordering_accuracy,0.5715189873417722,no_rollout,cracker_box_reorient
p_risk_threshold_shared,0.6,no_rollout,cracker_box_reorient
prior_advantage_margin_cm,0.1,no_rollout,cracker_box_reorient
Shared error MAE_obs_cm,15.917443776715956,no_rollout,cracker_box_yalehand0
Shared error MedianAE_obs_cm,12.07788056937492,no_rollout,cracker_box_yalehand0
Shared error Spearman_obs,0.9009870211491472,no_rollout,cracker_box_yalehand0
AUROC_obs_abs_risk,0.8159830051260085,no_rollout,cracker_box_yalehand0
AUPRC_obs_abs_risk,0.991363355147196,no_rollout,cracker_box_yalehand0
Brier_obs_abs_risk,0.0993394733789349,no_rollout,cracker_box_yalehand0
ECE_obs_abs_risk,0.0969074198071966,no_rollout,cracker_box_yalehand0
Shared error MAE_prior_cm,347.01673638903605,no_rollout,cracker_box_yalehand0
Shared error MedianAE_prior_cm,9.155590135689716,no_rollout,cracker_box_yalehand0
Shared error Spearman_prior,-0.4275033671907048,no_rollout,cracker_box_yalehand0
AUROC_prior_abs_risk,0.5520748270222842,no_rollout,cracker_box_yalehand0
AUPRC_prior_abs_risk,0.8959289940083716,no_rollout,cracker_box_yalehand0
Brier_prior_abs_risk,0.6810347663845872,no_rollout,cracker_box_yalehand0
ECE_prior_abs_risk,0.70388601741065,no_rollout,cracker_box_yalehand0
Pairwise_AUROC_prior_worse,0.331125809585145,no_rollout,cracker_box_yalehand0
Pairwise_balanced_accuracy,0.5507400464985436,no_rollout,cracker_box_yalehand0
Pairwise_ordering_accuracy,0.5070309718761125,no_rollout,cracker_box_yalehand0
p_risk_threshold_shared,0.6,no_rollout,cracker_box_yalehand0
prior_advantage_margin_cm,0.1,no_rollout,cracker_box_yalehand0
Shared error MAE_obs_cm,3.601945201845299,no_rollout,sugar_box_yalehand0
Shared error MedianAE_obs_cm,2.1069284711968725,no_rollout,sugar_box_yalehand0
Shared error Spearman_obs,0.6940323945481853,no_rollout,sugar_box_yalehand0
AUROC_obs_abs_risk,0.8045876824223087,no_rollout,sugar_box_yalehand0
AUPRC_obs_abs_risk,0.6158311122799238,no_rollout,sugar_box_yalehand0
Brier_obs_abs_risk,0.1458001865971074,no_rollout,sugar_box_yalehand0
ECE_obs_abs_risk,0.1200818200576065,no_rollout,sugar_box_yalehand0
Shared error MAE_prior_cm,3.5919574098185167,no_rollout,sugar_box_yalehand0
Shared error MedianAE_prior_cm,2.139597117572655,no_rollout,sugar_box_yalehand0
Shared error Spearman_prior,0.5664460765573496,no_rollout,sugar_box_yalehand0
AUROC_prior_abs_risk,0.781774632490873,no_rollout,sugar_box_yalehand0
AUPRC_prior_abs_risk,0.5721543881234312,no_rollout,sugar_box_yalehand0
Brier_prior_abs_risk,0.1506670928380886,no_rollout,sugar_box_yalehand0
ECE_prior_abs_risk,0.1209448216317171,no_rollout,sugar_box_yalehand0
Pairwise_AUROC_prior_worse,0.6909092722026466,no_rollout,sugar_box_yalehand0
Pairwise_balanced_accuracy,0.676139598788609,no_rollout,sugar_box_yalehand0
Pairwise_ordering_accuracy,0.6710944267975744,no_rollout,sugar_box_yalehand0
p_risk_threshold_shared,0.6,no_rollout,sugar_box_yalehand0
prior_advantage_margin_cm,0.1,no_rollout,sugar_box_yalehand0
Shared error MAE_obs_cm,8.193712733352822,no_rollout,sugar_box1
Shared error MedianAE_obs_cm,2.7134589198323784,no_rollout,sugar_box1
Shared error Spearman_obs,0.7421665566665999,no_rollout,sugar_box1
AUROC_obs_abs_risk,0.8958917676255052,no_rollout,sugar_box1
AUPRC_obs_abs_risk,0.7842652635693635,no_rollout,sugar_box1
Brier_obs_abs_risk,0.162810965014065,no_rollout,sugar_box1
ECE_obs_abs_risk,0.1425447879432095,no_rollout,sugar_box1
Shared error MAE_prior_cm,7.30167823855195,no_rollout,sugar_box1
Shared error MedianAE_prior_cm,2.312821068959808,no_rollout,sugar_box1
Shared error Spearman_prior,0.5746028635067705,no_rollout,sugar_box1
AUROC_prior_abs_risk,0.8485370263455402,no_rollout,sugar_box1
AUPRC_prior_abs_risk,0.6828501625077756,no_rollout,sugar_box1
Brier_prior_abs_risk,0.1769388101008872,no_rollout,sugar_box1
ECE_prior_abs_risk,0.1494599301102888,no_rollout,sugar_box1
Pairwise_AUROC_prior_worse,0.7962313740632185,no_rollout,sugar_box1
Pairwise_balanced_accuracy,0.7129949365533461,no_rollout,sugar_box1
Pairwise_ordering_accuracy,0.74822695035461,no_rollout,sugar_box1
p_risk_threshold_shared,0.6,no_rollout,sugar_box1
prior_advantage_margin_cm,0.1,no_rollout,sugar_box1
Shared error MAE_obs_cm,9.664742813457847,no_rollout,tomato_soup_can_yalehand0
Shared error MedianAE_obs_cm,8.145158965392977,no_rollout,tomato_soup_can_yalehand0
Shared error Spearman_obs,0.6060909367566039,no_rollout,tomato_soup_can_yalehand0
AUROC_obs_abs_risk,0.9217368697965244,no_rollout,tomato_soup_can_yalehand0
AUPRC_obs_abs_risk,0.5050184492315317,no_rollout,tomato_soup_can_yalehand0
Brier_obs_abs_risk,0.518652358762724,no_rollout,tomato_soup_can_yalehand0
ECE_obs_abs_risk,0.6508184673447887,no_rollout,tomato_soup_can_yalehand0
Shared error MAE_prior_cm,9.834673514013833,no_rollout,tomato_soup_can_yalehand0
Shared error MedianAE_prior_cm,8.808699020463106,no_rollout,tomato_soup_can_yalehand0
Shared error Spearman_prior,0.5339685831024162,no_rollout,tomato_soup_can_yalehand0
AUROC_prior_abs_risk,0.8135793759077545,no_rollout,tomato_soup_can_yalehand0
AUPRC_prior_abs_risk,0.4288629147693983,no_rollout,tomato_soup_can_yalehand0
Brier_prior_abs_risk,0.5040271230900587,no_rollout,tomato_soup_can_yalehand0
ECE_prior_abs_risk,0.6214426668143569,no_rollout,tomato_soup_can_yalehand0
Pairwise_AUROC_prior_worse,0.6032215188786203,no_rollout,tomato_soup_can_yalehand0
Pairwise_balanced_accuracy,0.6197016611124472,no_rollout,tomato_soup_can_yalehand0
Pairwise_ordering_accuracy,0.6277602523659306,no_rollout,tomato_soup_can_yalehand0
p_risk_threshold_shared,0.6,no_rollout,tomato_soup_can_yalehand0
prior_advantage_margin_cm,0.1,no_rollout,tomato_soup_can_yalehand0
