Metric,Value,variant,base_sequence
Shared error MAE_obs_cm,24.64313868002757,no_observer_reseed,cracker_box_reorient
Shared error MedianAE_obs_cm,1.7623294225638455,no_observer_reseed,cracker_box_reorient
Shared error Spearman_obs,0.7063750206407577,no_observer_reseed,cracker_box_reorient
AUROC_obs_abs_risk,0.924501661539503,no_observer_reseed,cracker_box_reorient
AUPRC_obs_abs_risk,0.9332772060384572,no_observer_reseed,cracker_box_reorient
Brier_obs_abs_risk,0.1918824674555171,no_observer_reseed,cracker_box_reorient
ECE_obs_abs_risk,0.1805573914503701,no_observer_reseed,cracker_box_reorient
Shared error MAE_prior_cm,8.793719591718016,no_observer_reseed,cracker_box_reorient
Shared error MedianAE_prior_cm,0.1682667613710666,no_observer_reseed,cracker_box_reorient
Shared error Spearman_prior,0.4222315154380603,no_observer_reseed,cracker_box_reorient
AUROC_prior_abs_risk,0.6791700097124276,no_observer_reseed,cracker_box_reorient
AUPRC_prior_abs_risk,0.4402042129747261,no_observer_reseed,cracker_box_reorient
Brier_prior_abs_risk,0.2513101154249905,no_observer_reseed,cracker_box_reorient
ECE_prior_abs_risk,0.2324911372752778,no_observer_reseed,cracker_box_reorient
Pairwise_AUROC_prior_worse,0.9306849688650516,no_observer_reseed,cracker_box_reorient
Pairwise_balanced_accuracy,0.7761768404466464,no_observer_reseed,cracker_box_reorient
Pairwise_ordering_accuracy,0.8726386349786716,no_observer_reseed,cracker_box_reorient
p_risk_threshold_shared,0.2499999999999999,no_observer_reseed,cracker_box_reorient
prior_advantage_margin_cm,0.1,no_observer_reseed,cracker_box_reorient
Shared error MAE_obs_cm,84.74598395722452,no_observer_reseed,cracker_box_yalehand0
Shared error MedianAE_obs_cm,80.41854297380482,no_observer_reseed,cracker_box_yalehand0
Shared error Spearman_obs,0.7815491745039448,no_observer_reseed,cracker_box_yalehand0
AUROC_obs_abs_risk,,no_observer_reseed,cracker_box_yalehand0
AUPRC_obs_abs_risk,,no_observer_reseed,cracker_box_yalehand0
Brier_obs_abs_risk,0.0003267032678476,no_observer_reseed,cracker_box_yalehand0
ECE_obs_abs_risk,0.0045040697885965,no_observer_reseed,cracker_box_yalehand0
Shared error MAE_prior_cm,0.7023750486481172,no_observer_reseed,cracker_box_yalehand0
Shared error MedianAE_prior_cm,0.514890976442039,no_observer_reseed,cracker_box_yalehand0
Shared error Spearman_prior,-0.0700292807408508,no_observer_reseed,cracker_box_yalehand0
AUROC_prior_abs_risk,0.5988462416536506,no_observer_reseed,cracker_box_yalehand0
AUPRC_prior_abs_risk,0.4509307936273963,no_observer_reseed,cracker_box_yalehand0
Brier_prior_abs_risk,0.3381174574302702,no_observer_reseed,cracker_box_yalehand0
ECE_prior_abs_risk,0.3647231732654141,no_observer_reseed,cracker_box_yalehand0
Pairwise_AUROC_prior_worse,,no_observer_reseed,cracker_box_yalehand0
Pairwise_balanced_accuracy,,no_observer_reseed,cracker_box_yalehand0
Pairwise_ordering_accuracy,,no_observer_reseed,cracker_box_yalehand0
p_risk_threshold_shared,0.2499999999999999,no_observer_reseed,cracker_box_yalehand0
prior_advantage_margin_cm,0.1,no_observer_reseed,cracker_box_yalehand0
Shared error MAE_obs_cm,53.64447494518435,no_observer_reseed,sugar_box_yalehand0
Shared error MedianAE_obs_cm,32.74103896883459,no_observer_reseed,sugar_box_yalehand0
Shared error Spearman_obs,0.6700655105723811,no_observer_reseed,sugar_box_yalehand0
AUROC_obs_abs_risk,0.8823395672604925,no_observer_reseed,sugar_box_yalehand0
AUPRC_obs_abs_risk,0.9748706544219156,no_observer_reseed,sugar_box_yalehand0
Brier_obs_abs_risk,0.3177183645717489,no_observer_reseed,sugar_box_yalehand0
ECE_obs_abs_risk,0.3557353043164523,no_observer_reseed,sugar_box_yalehand0
Shared error MAE_prior_cm,217380.86771045072,no_observer_reseed,sugar_box_yalehand0
Shared error MedianAE_prior_cm,1.594405372175517,no_observer_reseed,sugar_box_yalehand0
Shared error Spearman_prior,0.3704485016090424,no_observer_reseed,sugar_box_yalehand0
AUROC_prior_abs_risk,0.786298857392228,no_observer_reseed,sugar_box_yalehand0
AUPRC_prior_abs_risk,0.8971060526975989,no_observer_reseed,sugar_box_yalehand0
Brier_prior_abs_risk,0.5523850792095889,no_observer_reseed,sugar_box_yalehand0
ECE_prior_abs_risk,0.5896284746813618,no_observer_reseed,sugar_box_yalehand0
Pairwise_AUROC_prior_worse,0.4945379593079673,no_observer_reseed,sugar_box_yalehand0
Pairwise_balanced_accuracy,0.6058741225169701,no_observer_reseed,sugar_box_yalehand0
Pairwise_ordering_accuracy,0.7028226522279425,no_observer_reseed,sugar_box_yalehand0
p_risk_threshold_shared,0.2499999999999999,no_observer_reseed,sugar_box_yalehand0
prior_advantage_margin_cm,0.1,no_observer_reseed,sugar_box_yalehand0
Shared error MAE_obs_cm,33.86675078912153,no_observer_reseed,sugar_box1
Shared error MedianAE_obs_cm,1.0285493282810787,no_observer_reseed,sugar_box1
Shared error Spearman_obs,0.7624340839953972,no_observer_reseed,sugar_box1
AUROC_obs_abs_risk,0.7938243819423401,no_observer_reseed,sugar_box1
AUPRC_obs_abs_risk,0.8797716441043748,no_observer_reseed,sugar_box1
Brier_obs_abs_risk,0.2823943976576729,no_observer_reseed,sugar_box1
ECE_obs_abs_risk,0.2916638533253224,no_observer_reseed,sugar_box1
Shared error MAE_prior_cm,9.77586148240196,no_observer_reseed,sugar_box1
Shared error MedianAE_prior_cm,0.3843809245446534,no_observer_reseed,sugar_box1
Shared error Spearman_prior,0.4853422343310863,no_observer_reseed,sugar_box1
AUROC_prior_abs_risk,0.7075182282818411,no_observer_reseed,sugar_box1
AUPRC_prior_abs_risk,0.7073211972251116,no_observer_reseed,sugar_box1
Brier_prior_abs_risk,0.3892861431227676,no_observer_reseed,sugar_box1
