Metric,Value,variant,base_sequence
Shared error MAE_obs_cm,10.18283181935628,mode3_history_reset,cracker_box_reorient
Shared error MedianAE_obs_cm,0.1939044957616209,mode3_history_reset,cracker_box_reorient
Shared error Spearman_obs,0.8791533377189507,mode3_history_reset,cracker_box_reorient
AUROC_obs_abs_risk,0.9705471887408128,mode3_history_reset,cracker_box_reorient
AUPRC_obs_abs_risk,0.9665779564458934,mode3_history_reset,cracker_box_reorient
Brier_obs_abs_risk,0.0605337388935975,mode3_history_reset,cracker_box_reorient
ECE_obs_abs_risk,0.0236644924946467,mode3_history_reset,cracker_box_reorient
Shared error MAE_prior_cm,0.2857167485620735,mode3_history_reset,cracker_box_reorient
Shared error MedianAE_prior_cm,0.2155794494539393,mode3_history_reset,cracker_box_reorient
Shared error Spearman_prior,0.3252721700677171,mode3_history_reset,cracker_box_reorient
AUROC_prior_abs_risk,0.8738261701501324,mode3_history_reset,cracker_box_reorient
AUPRC_prior_abs_risk,0.3080563280470057,mode3_history_reset,cracker_box_reorient
Brier_prior_abs_risk,0.0750286515388308,mode3_history_reset,cracker_box_reorient
ECE_prior_abs_risk,0.0840508706358318,mode3_history_reset,cracker_box_reorient
Pairwise_AUROC_prior_worse,0.9755530577836816,mode3_history_reset,cracker_box_reorient
Pairwise_balanced_accuracy,0.8420485703094398,mode3_history_reset,cracker_box_reorient
Pairwise_ordering_accuracy,0.9603260869565218,mode3_history_reset,cracker_box_reorient
p_risk_threshold_shared,0.2499999999999999,mode3_history_reset,cracker_box_reorient
prior_advantage_margin_cm,0.1,mode3_history_reset,cracker_box_reorient
Shared error MAE_obs_cm,25.055970551657555,mode3_history_reset,cracker_box_yalehand0
Shared error MedianAE_obs_cm,0.9451768432396968,mode3_history_reset,cracker_box_yalehand0
Shared error Spearman_obs,0.7690383843810473,mode3_history_reset,cracker_box_yalehand0
AUROC_obs_abs_risk,0.7390021168984583,mode3_history_reset,cracker_box_yalehand0
AUPRC_obs_abs_risk,0.9280602120047842,mode3_history_reset,cracker_box_yalehand0
Brier_obs_abs_risk,0.1613314508511691,mode3_history_reset,cracker_box_yalehand0
ECE_obs_abs_risk,0.1072929115788441,mode3_history_reset,cracker_box_yalehand0
Shared error MAE_prior_cm,0.6406102502361966,mode3_history_reset,cracker_box_yalehand0
Shared error MedianAE_prior_cm,0.5482090120965413,mode3_history_reset,cracker_box_yalehand0
Shared error Spearman_prior,-0.1451005600611991,mode3_history_reset,cracker_box_yalehand0
AUROC_prior_abs_risk,0.4849654595734305,mode3_history_reset,cracker_box_yalehand0
AUPRC_prior_abs_risk,0.3618396528613988,mode3_history_reset,cracker_box_yalehand0
Brier_prior_abs_risk,0.3570123710190195,mode3_history_reset,cracker_box_yalehand0
ECE_prior_abs_risk,0.3964527969788508,mode3_history_reset,cracker_box_yalehand0
Pairwise_AUROC_prior_worse,0.9861032161155706,mode3_history_reset,cracker_box_yalehand0
Pairwise_balanced_accuracy,0.7872843711177633,mode3_history_reset,cracker_box_yalehand0
Pairwise_ordering_accuracy,0.9802441919620146,mode3_history_reset,cracker_box_yalehand0
p_risk_threshold_shared,0.2499999999999999,mode3_history_reset,cracker_box_yalehand0
prior_advantage_margin_cm,0.1,mode3_history_reset,cracker_box_yalehand0
Shared error MAE_obs_cm,0.4421058797548938,mode3_history_reset,sugar_box_yalehand0
Shared error MedianAE_obs_cm,0.1259094855261763,mode3_history_reset,sugar_box_yalehand0
Shared error Spearman_obs,0.7401511036515773,mode3_history_reset,sugar_box_yalehand0
AUROC_obs_abs_risk,0.8950926115259967,mode3_history_reset,sugar_box_yalehand0
AUPRC_obs_abs_risk,0.7481932699887514,mode3_history_reset,sugar_box_yalehand0
Brier_obs_abs_risk,0.1523740886251982,mode3_history_reset,sugar_box_yalehand0
ECE_obs_abs_risk,0.1366896132900952,mode3_history_reset,sugar_box_yalehand0
Shared error MAE_prior_cm,0.4371820609217186,mode3_history_reset,sugar_box_yalehand0
Shared error MedianAE_prior_cm,0.1387751115825551,mode3_history_reset,sugar_box_yalehand0
Shared error Spearman_prior,0.7049288885577285,mode3_history_reset,sugar_box_yalehand0
AUROC_prior_abs_risk,0.872319458029597,mode3_history_reset,sugar_box_yalehand0
AUPRC_prior_abs_risk,0.6408731114537491,mode3_history_reset,sugar_box_yalehand0
Brier_prior_abs_risk,0.1655500496276453,mode3_history_reset,sugar_box_yalehand0
ECE_prior_abs_risk,0.1512396315688363,mode3_history_reset,sugar_box_yalehand0
Pairwise_AUROC_prior_worse,0.8493791989985289,mode3_history_reset,sugar_box_yalehand0
Pairwise_balanced_accuracy,0.8155962175742987,mode3_history_reset,sugar_box_yalehand0
Pairwise_ordering_accuracy,0.8214556482183473,mode3_history_reset,sugar_box_yalehand0
p_risk_threshold_shared,0.2499999999999999,mode3_history_reset,sugar_box_yalehand0
prior_advantage_margin_cm,0.1,mode3_history_reset,sugar_box_yalehand0
Shared error MAE_obs_cm,8.990412459019483,mode3_history_reset,sugar_box1
Shared error MedianAE_obs_cm,0.1678618222776858,mode3_history_reset,sugar_box1
Shared error Spearman_obs,0.7385957267657501,mode3_history_reset,sugar_box1
AUROC_obs_abs_risk,0.7705804238441677,mode3_history_reset,sugar_box1
AUPRC_obs_abs_risk,0.7432648911152264,mode3_history_reset,sugar_box1
Brier_obs_abs_risk,0.19009963628341,mode3_history_reset,sugar_box1
ECE_obs_abs_risk,0.1751426849018916,mode3_history_reset,sugar_box1
Shared error MAE_prior_cm,5.323016738929138,mode3_history_reset,sugar_box1
Shared error MedianAE_prior_cm,0.1741863303750836,mode3_history_reset,sugar_box1
Shared error Spearman_prior,0.5518003571391656,mode3_history_reset,sugar_box1
AUROC_prior_abs_risk,0.7157858312876555,mode3_history_reset,sugar_box1
AUPRC_prior_abs_risk,0.5680238489189632,mode3_history_reset,sugar_box1
Brier_prior_abs_risk,0.2227123956656517,mode3_history_reset,sugar_box1
ECE_prior_abs_risk,0.2043770046201738,mode3_history_reset,sugar_box1
Pairwise_AUROC_prior_worse,0.8788979170483705,mode3_history_reset,sugar_box1
Pairwise_balanced_accuracy,0.8139379464923489,mode3_history_reset,sugar_box1
Pairwise_ordering_accuracy,0.8276972624798712,mode3_history_reset,sugar_box1
p_risk_threshold_shared,0.2499999999999999,mode3_history_reset,sugar_box1
prior_advantage_margin_cm,0.1,mode3_history_reset,sugar_box1
Shared error MAE_obs_cm,7.385475050734186,mode3_history_reset,tomato_soup_can_yalehand0
Shared error MedianAE_obs_cm,0.2479059918827265,mode3_history_reset,tomato_soup_can_yalehand0
Shared error Spearman_obs,0.1826132730848951,mode3_history_reset,tomato_soup_can_yalehand0
AUROC_obs_abs_risk,0.5379604712532888,mode3_history_reset,tomato_soup_can_yalehand0
AUPRC_obs_abs_risk,0.3968216825134579,mode3_history_reset,tomato_soup_can_yalehand0
Brier_obs_abs_risk,0.2391992350795834,mode3_history_reset,tomato_soup_can_yalehand0
ECE_obs_abs_risk,0.2365817701891473,mode3_history_reset,tomato_soup_can_yalehand0
Shared error MAE_prior_cm,7.263308439779981,mode3_history_reset,tomato_soup_can_yalehand0
