episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,b6_oracle_source,b6_oracle_version,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
cracker_box_yalehand0_occ60,0,1.0681532330779226,1.0681532330779226,1.9076036121609283,1.9076036121609283,0.068541085933789,0.068541085933789,0.9274193548387096,0.9274193548387096,0.0,0.0,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,0,False,1,1,1.0681532330779226,policy_output,b5_obs_prior_output_hindsight_v1,0,0,precomputed,1,0.0,3.4019043669104576,0,1,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.49981678039482635,,1,29235.510973259807,0,20.19468415528536,29235.510973259807,29259.107561782002,1.0681532330779226,1.0681532330779226,1.0681532330779226,1.0681532330779226,0.49981678039482635,0.49981678039482635
cracker_box_yalehand0_occ60,1,0.8811520921688656,0.5008398117587314,1.7866709288781246,1.150016380757942,0.06419591831917082,0.04132062398933299,0.7946843853820601,0.7272727272727273,-0.3803122804101342,-0.6366545481201826,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.5008398117587314,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,13743.929892778397,2.6355478912591934,0,2,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4680673205500923,,1,2423.2871560379863,0,25.948083959519863,2423.2871560379863,16195.800680667162,1.8533804675296344,1.8533804675296341,1.8533804675296344,1.8533804675296333,0.4680673205500923,0.4680673205500923
cracker_box_yalehand0_occ60,2,0.8418391241222279,0.4658963194964849,1.748317849052333,1.1596926167793593,0.06281787430446736,0.04166829565467876,0.7946843853820601,0.7946843853820601,-0.37594280462574303,-0.5886252322729737,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4658963194964849,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.31354396790266,2.352864481508732,0,3,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.44616641176932437,,1,2428.2102659344673,0,23.13163038343191,2428.2102659344673,2501.0083047673106,2.6172620177146095,2.64987978334943,2.6904854016365682,2.617277280084509,0.44616641176932437,0.44616641176932437
cracker_box_yalehand0_occ60,3,0.9467702062383256,0.44193872374159343,1.8645995882043764,1.1553542266960086,0.0669959313310643,0.04151241527910094,0.9274193548387096,0.7946843853820601,-0.5048314824967322,-0.7092453615083678,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.44193872374159343,prior,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,48.46281744539738,2.1763332188129425,0,4,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4709478584185337,,1,2427.463760599494,0,23.875338025391102,2427.463760599494,2501.9782492890954,3.412357939012694,3.4004392177402867,3.4682716514809426,3.4123915595926833,0.4709478584185337,0.44193872374159343
cracker_box_yalehand0_occ60,4,0.8384199488849278,0.4709870648524171,1.7547694000593737,1.138806012682043,0.0630496815358863,0.04091783024500306,0.7946843853820601,0.7272727272727273,-0.3674328840325107,-0.6159633873773307,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4709870648524171,prior,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,48.02834149450064,2.3780446499586105,0,5,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.5116496251147717,,1,2424.2103938013315,0,23.9229965955019,2424.2103938013315,2498.5397765412927,4.416894884021564,4.376422443674618,4.3348751059429045,4.416972514096449,0.5116496251147717,0.4709870648524171
cracker_box_yalehand0_occ60,5,0.8341181364273753,0.5119345734059767,1.770363908675777,1.1636928169191798,0.06360999949102024,0.04181202470812986,0.7946843853820601,0.7946843853820601,-0.3221835630213986,-0.6066710917565972,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.5119345734059767,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,44.97169516980648,2.0973272621631622,0,6,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.496729041033728,,1,2426.4389919117093,0,22.396723739802837,2426.4389919117093,2495.904738083482,5.5849824671965385,5.53594250085274,5.3732464141901675,5.58511691677693,0.496729041033728,0.496729041033728
cracker_box_yalehand0_occ60,6,0.8043071725807223,0.4932109886140133,1.7350870762340491,1.157996766167849,0.06234248647707635,0.04160736295264705,0.7946843853820601,0.7946843853820601,-0.31109618396670896,-0.5770903100662002,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4932109886140133,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,44.933728873729706,4.0302397683262825,0,7,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4741967752860521,,1,2425.9067503735423,0,22.36298844218254,2425.9067503735423,2497.233707457781,6.450989594133179,6.570178338425796,6.5771418043103695,6.451165986317566,0.4741967752860521,0.4741967752860521
cracker_box_yalehand0_occ60,7,0.9203153664439029,0.4703679866843246,1.7649036211483413,1.159816049124446,0.06341380881793947,0.04167273063630579,0.7946843853820601,0.7946843853820601,-0.44994737975957827,-0.6050875720238953,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4703679866843246,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.270272858440876,2.8373515233397484,0,8,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.45704239577289,,1,2425.119273364544,0,15.277898870408535,2425.119273364544,2490.504796616733,7.147695465619007,7.369459206921361,7.8883776508340535,7.147906165044154,0.45704239577289,0.45704239577289
cracker_box_yalehand0_occ60,8,0.8648492437364483,0.4596242995067404,1.8360381041658382,1.1501455883804508,0.06596970391180271,0.04132526647936667,0.9274193548387096,0.7272727272727273,-0.40522494422970795,-0.6858925157853875,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4596242995067404,prior,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,45.75021751224995,2.1476708352565765,0,9,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4608360225693138,,1,2428.6839328706264,0,18.57798919081688,2428.6839328706264,2495.15981040895,7.815384718338045,7.986714183274199,9.263261826881617,7.816352583262784,0.4608360225693138,0.4596242995067404
cracker_box_yalehand0_occ60,9,0.8224290208090221,0.463576998309045,1.7169379338057693,1.1685860050691077,0.06169037933968624,0.04198783923654464,0.7946843853820601,0.7946843853820601,-0.35885202249997716,-0.5483519287366616,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.463576998309045,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.95059747993946,2.3053204640746117,0,10,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.46226341122076176,,1,2430.611810646951,0,20.956126041710377,2430.611810646951,2501.8238546326756,8.669766862588553,8.647012664882695,10.67201548064729,8.661996933897067,0.46226341122076176,0.46226341122076176
cracker_box_yalehand0_occ60,10,0.9360762150749713,0.459078406574372,1.8319983963669808,1.1437978762240588,0.06582455532976829,0.0410971902261972,0.9274193548387096,0.7272727272727273,-0.4769978085005993,-0.688200520142922,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.459078406574372,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,45.87196558713913,2.030482515692711,0,11,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4356882781740293,,1,2427.0294224843383,0,21.194808185100555,2427.0294224843383,2496.1266787722707,9.36626883267964,9.36726492230351,12.077624712489358,9.366568334348454,0.4356882781740293,0.4356882781740293
cracker_box_yalehand0_occ60,11,0.9343047448485386,0.4393558431238821,1.7536628955767872,1.1383563248953588,0.0630099243146567,0.040901672753460266,0.7946843853820601,0.7272727272727273,-0.49494890172465655,-0.6153065706814285,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4393558431238821,prior,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.519750893116,2.0998306572437286,0,12,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.48984676939754235,,1,2433.765249326825,0,24.056706577539444,2433.765249326825,2507.4415374547243,10.220152072847629,10.166622757548884,13.420911810531907,10.22046408904934,0.48984676939754235,0.4393558431238821
cracker_box_yalehand0_occ60,12,0.8926864307897757,0.4872938388402802,1.7572055473663244,1.1745156739163307,0.06313721344285514,0.04220089499898159,0.7946843853820601,0.7946843853820601,-0.4053925919494955,-0.5826898734499937,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4872938388402802,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.53052443265915,2.5211255997419357,0,13,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4306976042008243,,1,2451.9835533574224,0,21.604913286864758,2451.9835533574224,2523.640116676688,10.93480930218435,10.974746094634275,14.728796688773038,10.935150063189385,0.4306976042008243,0.4306976042008243
cracker_box_yalehand0_occ60,13,0.8322087933668368,0.4348107045806563,1.6268358145131034,1.160312868721788,0.05845296824343689,0.041690581595749315,0.7946843853820601,0.7946843853820601,-0.39739808878618055,-0.46652294579131537,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4348107045806563,prior,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,30.438163317739964,2.0618773996829987,0,14,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.44770986421388437,,1,2427.8036700561643,0,16.134636476635933,2427.8036700561643,2476.438347250223,11.707526708649715,11.74270076593494,15.940689544437111,11.678875121685532,0.44770986421388437,0.4348107045806563
cracker_box_yalehand0_occ60,14,0.7967980021724858,0.45255356936781665,1.617979591064347,1.1757445501126291,0.05813476001161119,0.042245049092859116,0.7946843853820601,0.7946843853820601,-0.3442444328046691,-0.44223504095171795,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.45255356936781665,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.982762567698956,2.104201354086399,0,15,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.4385484557283327,,1,2440.07832929492,0,22.50630222260952,2440.07832929492,2512.671595439315,13.173540829013081,12.838474415403411,17.09614819463737,13.10833389793364,0.4385484557283327,0.4385484557283327
cracker_box_yalehand0_occ60,15,0.9051194864015963,0.4381398681002441,1.8340506178710068,1.1658361222831988,0.0658982926038885,0.04188903466774676,0.9274193548387096,0.7946843853820601,-0.46697961830135226,-0.668214495587808,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4381398681002441,prior,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,47.520396299660206,4.116068594157696,0,16,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.5108432083541942,,1,2433.8123789057136,0,22.014150395989418,2433.8123789057136,2507.462994195521,14.09784620660615,14.01766112791491,18.14382056754073,14.246284863391248,0.5108432083541942,0.4381398681002441
cracker_box_yalehand0_occ60,16,0.8993144706069631,0.5150174265542538,1.7578184046481744,1.18580564654231,0.06315923369032828,0.04260654897185846,0.7946843853820601,0.7946843853820601,-0.38429704405270937,-0.5720127581058645,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.5150174265542538,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,45.33637594431639,2.0171813666820526,0,17,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.46129438059693656,,1,2433.906721882522,0,18.513739109039307,2433.906721882522,2499.77401830256,14.777710316712975,15.010705050015302,19.103243873792422,14.778065921584476,0.46129438059693656,0.46129438059693656
cracker_box_yalehand0_occ60,17,0.9997483255052163,0.4587294817574511,1.886826582682272,1.1747566568725079,0.0677945575911779,0.04220955362879473,0.9274193548387096,0.7946843853820601,-0.5410188437477652,-0.7120699258097642,MODE_3_RELOCALIZE,mode3_history_reset,four_mode_relocalization_v2,,0,1,1,False,1,0,0.4587294817574511,policy_output,b5_obs_prior_output_hindsight_v1,0,0,restarted_se3,1,46.58207390457392,2.111443318426609,0,18,cache_read_only_not_online_fps,aae85f169c3e7c012a278d747227991dd463827d3c692724bd1f1f37b20bbc28,cached_perception_v2,1,1,1,0.42562262282701147,,1,2432.3425060138106,0,18.058876506984234,2432.3425060138106,2499.0948997437954,15.577990844347614,15.811561540499152,19.983905247349863,15.578333488646171,0.42562262282701147,0.42562262282701147
