Metric,Value
Shared error MAE_obs_cm,7.385475050734186
Shared error MedianAE_obs_cm,0.2479059918827265
Shared error Spearman_obs,0.18261327308489514
AUROC_obs_abs_risk,0.5379604712532888
AUPRC_obs_abs_risk,0.3968216825134579
Brier_obs_abs_risk,0.2391992350795834
ECE_obs_abs_risk,0.23658177018914733
Shared error MAE_prior_cm,7.263308439779981
Shared error MedianAE_prior_cm,0.23959649404281258
Shared error Spearman_prior,0.18509255451764148
AUROC_prior_abs_risk,0.5264912311041768
AUPRC_prior_abs_risk,0.3306588085264601
Brier_prior_abs_risk,0.24508960926663428
ECE_prior_abs_risk,0.24349268978445093
Pairwise_AUROC_prior_worse,0.6067411795313093
Pairwise_balanced_accuracy,0.5293406912285616
Pairwise_ordering_accuracy,0.5329608938547487
p_risk_threshold_shared,0.24999999999999994
prior_advantage_margin_cm,0.1
