sequence,sequence_index,frame_id,hypothesis,D_obj_cm,target_E_cm,target_e_norm,x1_norm,x2_inlier_error,x4_support_ratio,x5_geometry_inconsistency
mustard0_black10,0,0,obs,22.44201091725071,0.1997291880930647,0.00889979016717869,0.8973128703813493,0.3658263305322129,0.31896223075558106,0.5241254523522316
mustard0_black10,0,0,prior,22.44201091725071,0.1997291880930647,0.00889979016717869,0.8973128703813493,0.3658263305322129,0.31896223075558106,0.5241254523522316
mustard0_black10,1,1,obs,22.44201091725071,0.21976041432345034,0.009792367320992838,0.9106059851754319,0.38146067415730334,0.32086989957699397,0.5307364576993305
mustard0_black10,1,1,prior,22.44201091725071,0.21976041432345034,0.009792367320992838,0.9106059851754319,0.38146067415730334,0.32086989957699397,0.5307364576993305
mustard0_black10,2,2,obs,22.44201091725071,0.1872171420645157,0.008342262320200805,0.9123185355833648,0.38556933483652767,0.3231591021626895,0.5462287104622872
mustard0_black10,2,2,prior,22.44201091725071,0.2550683201009537,0.011365662419533356,0.9083259266899323,0.39279684862127184,0.32201450086984174,0.5344722391702257
mustard0_black10,3,3,obs,22.44201091725071,0.21440684347368374,0.009553816022292086,0.8881934996199998,0.38184836745987827,0.31056848794136405,0.5261575466025256
mustard0_black10,3,3,prior,22.44201091725071,0.18195197506697383,0.008107650234102289,0.9006871099374261,0.377431906614786,0.31362075805562484,0.5200478755236385
mustard0_black10,4,4,obs,22.44201091725071,0.2307277164869963,0.010281062483114679,0.9206544039093232,0.3726042841037204,0.3231591021626895,0.532043530834341
mustard0_black10,4,4,prior,22.44201091725071,0.25631535687419404,0.011421229488716171,0.8900605593641323,0.38235294117647056,0.31247615676277707,0.5244279529993816
mustard0_black10,5,8,obs,22.44201091725071,0.19187658059438653,0.00854988357780786,0.9110535111427654,0.38186968838526913,0.3265929060412328,0.5359516616314199
mustard0_black10,5,8,prior,22.44201091725071,0.24187195385639493,0.010777641751812578,0.9342782496890568,0.3774795799299884,0.34605112801964477,0.5381818181818182
