model,candidate_population,partition,sequence,candidates,mae_cm,risk_auroc,balanced_accuracy,evidence
frozen_q0,fixed_policy,all,ALL,45540,7.674484680149374,0.912724368518012,0.8942498780401924,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,fixed_policy,train,ALL,31842,6.46658341494988,0.8590612172316987,0.8535258026352847,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,fixed_policy,cal,ALL,13698,10.482339263773428,0.9944706898294757,0.966648977717685,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,fixed_policy,all,ALL,45540,15.408782411718677,0.8951261409764152,0.7620777085852994,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,fixed_policy,train,ALL,31842,12.761078836339482,0.9091765649605068,0.7495153531272297,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,fixed_policy,cal,ALL,13698,21.563562470648773,0.8515708995327567,0.7906985948807097,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_only,fixed_policy,all,ALL,45540,7.674484680149374,0.912724368518012,0.8942498780401924,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_only,fixed_policy,train,ALL,31842,6.46658341494988,0.8590612172316987,0.8535258026352847,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_only,fixed_policy,cal,ALL,13698,10.482339263773428,0.9944706898294757,0.966648977717685,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_duplicated_count_control,fixed_policy,all,ALL,45540,7.674484658583262,0.912724368518012,0.8942498780401924,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_duplicated_count_control,fixed_policy,train,ALL,31842,6.466583400795329,0.8590612172316987,0.8535258026352847,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_duplicated_count_control,fixed_policy,cal,ALL,13698,10.4823392249786,0.9944706898294757,0.966648977717685,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_prior,fixed_policy,all,ALL,45540,7.601225086905245,0.908685883133568,0.893303662037801,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_prior,fixed_policy,train,ALL,31842,6.381610194325614,0.8520687967107938,0.8522858635282153,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_prior,fixed_policy,cal,ALL,13698,10.436308851653433,0.9945099421268646,0.9664663952327943,post_development_diagnostic; calibration partition used for fitting calibrator
q0_policy_obs_prior_refit,fixed_policy,all,ALL,45540,15.407147462954992,0.8974634165224635,0.7627931530289449,post_development_diagnostic; calibration partition used for fitting calibrator
q0_policy_obs_prior_refit,fixed_policy,train,ALL,31842,12.760327577977607,0.9112048220570962,0.7499528508811855,post_development_diagnostic; calibration partition used for fitting calibrator
q0_policy_obs_prior_refit,fixed_policy,cal,ALL,13698,21.559873319098216,0.8551700471648829,0.7920777907112686,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,q0_policy,all,ALL,45540,8.730598282660756,0.6590495247525672,0.6507785648735328,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,q0_policy,train,ALL,31842,3.9980691691608206,0.6046911887659462,0.6250104986220906,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,q0_policy,cal,ALL,13698,19.731707352018685,0.7548535021812136,0.7172970011251685,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,q0_policy,all,ALL,45540,6.310068086309207,0.8901809571656306,0.7915686557473964,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,q0_policy,train,ALL,31842,1.741864667958985,0.8948107580675236,0.7621628407135843,post_development_diagnostic; calibration partition used for fitting calibrator
