episode,blackout_start_index,blackout_end_index,recovery_index,blackout_start_frame,blackout_end_frame,recovery_frame
mustard0_black10,100,109,110,233,242,243
mustard0_black10_2,495,504,505,766,775,776
mustard0_black10_3,555,564,565,839,848,849
mustard0_black10_4,75,84,85,208,217,218
mustard0_black10_5,580,589,590,864,873,874
bleach0_black10,150,159,160,150,159,160
bleach0_black10_2,305,314,315,305,314,315
bleach0_black10_3,450,459,460,450,459,460
bleach0_black10_4,175,184,185,175,184,185
bleach0_black10_5,350,359,360,350,359,360
bleach_hard_00_03_chaitanya_black10,45,54,55,54,63,64
bleach_hard_00_03_chaitanya_black10_2,275,284,285,330,339,340
bleach_hard_00_03_chaitanya_black10_3,295,304,305,350,359,360
bleach_hard_00_03_chaitanya_black10_4,250,259,260,295,304,305
bleach_hard_00_03_chaitanya_black10_5,63,72,73,72,81,82
